Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,10.840000,11.150000,10.830000,11.050000,11.050000,3149900
2016-01-04,10.770000,11.090000,10.600000,11.080000,11.080000,3248500
2016-01-05,11.120000,11.250000,10.700000,10.720000,10.720000,2959300
2016-01-06,10.550000,10.570000,10.110000,10.120000,10.120000,5717000
2016-01-07,9.960000,9.990000,9.300000,9.510000,9.510000,5230500
2016-01-08,9.560000,9.910000,9.410000,9.490000,9.490000,3430800
2016-01-11,9.530000,9.580000,9.115000,9.240000,9.240000,4302300
2016-01-12,9.320000,9.505000,9.210000,9.470000,9.470000,4551200
2016-01-13,9.490000,9.680000,8.770000,8.860000,8.860000,6567100
2016-01-14,8.850000,8.880000,7.755000,8.020000,8.020000,35091800
2016-01-15,7.810000,8.020000,7.460000,7.730000,7.730000,9115000
2016-01-19,7.800000,7.940000,7.050000,7.340000,7.340000,7897800
2016-01-20,7.200000,8.110000,6.680000,7.920000,7.920000,10845500
2016-01-21,8.000000,8.380000,7.660000,8.220000,8.220000,5529400
2016-01-22,8.340000,8.620000,8.240000,8.460000,8.460000,4452900
2016-01-25,8.450000,8.460000,7.950000,7.990000,7.990000,4171700
2016-01-26,8.040000,8.275000,7.760000,8.070000,8.070000,2251400
2016-01-27,7.860000,8.030000,7.460000,7.710000,7.710000,7249500
2016-01-28,7.900000,8.030000,7.270000,7.390000,7.390000,3045700
2016-01-29,7.370000,7.490000,7.105000,7.380000,7.380000,5928500
2016-02-01,7.340000,7.685000,6.990000,7.610000,7.610000,8085000
2016-02-02,7.530000,7.530000,6.760000,7.040000,7.040000,5334700
2016-02-03,7.070000,7.690000,6.790000,7.680000,7.680000,5466100
2016-02-04,7.690000,7.980000,7.390000,7.590000,7.590000,5034600
2016-02-05,7.470000,7.500000,6.830000,7.000000,7.000000,7023800
2016-02-08,6.800000,6.900000,6.580000,6.610000,6.610000,9982200
2016-02-09,6.430000,6.700000,6.340000,6.570000,6.570000,6477000
2016-02-10,6.600000,6.800000,6.440000,6.510000,6.510000,7130500
2016-02-11,7.190000,7.560000,6.420000,6.880000,6.880000,17445200
2016-02-12,7.000000,7.300000,6.610000,7.040000,7.040000,15043700
2016-02-16,7.180000,8.070000,7.100000,7.870000,7.870000,12943600
2016-02-17,7.930000,8.460000,7.900000,8.250000,8.250000,10671600
2016-02-18,8.260000,8.740000,8.049000,8.700000,8.700000,7826100
2016-02-19,8.640000,8.950000,8.580000,8.880000,8.880000,9517400
2016-02-22,9.000000,9.310000,8.940000,9.280000,9.280000,6913700
2016-02-23,9.280000,9.300000,8.560000,8.840000,8.840000,10460900
2016-02-24,8.600000,8.660000,8.110000,8.460000,8.460000,8947300
2016-02-25,8.070000,8.660000,8.020000,8.450000,8.450000,5419400
2016-02-26,8.570000,8.770000,8.240000,8.410000,8.410000,6244100
2016-02-29,8.420000,8.940000,8.360000,8.730000,8.730000,4186200
2016-03-01,8.770000,8.930000,8.460000,8.750000,8.750000,4706200
2016-03-02,8.750000,9.160000,8.680000,9.160000,9.160000,5873000
2016-03-03,9.260000,9.680000,9.040000,9.560000,9.560000,6858800
2016-03-04,9.650000,9.800000,8.910000,8.980000,8.980000,8849900
2016-03-07,8.980000,9.450000,8.940000,9.400000,9.400000,5413100
2016-03-08,9.360000,9.380000,8.865000,9.000000,9.000000,4649500
2016-03-09,9.000000,9.110000,8.650000,8.910000,8.910000,4562600
2016-03-10,9.240000,9.340000,8.740000,9.010000,9.010000,5958800
2016-03-11,9.070000,9.210000,8.910000,9.170000,9.170000,3863400
2016-03-14,9.110000,9.360000,8.990000,9.050000,9.050000,2747900
2016-03-15,8.980000,9.020000,8.490000,8.530000,8.530000,4152300
2016-03-16,8.450000,8.470000,7.995000,8.410000,8.410000,6813500
2016-03-17,8.450000,8.480000,8.120000,8.400000,8.400000,3764700
2016-03-18,8.490000,9.005000,8.470000,8.700000,8.700000,5367200
2016-03-21,8.670000,9.000000,8.440000,8.800000,8.800000,3133200
2016-03-22,8.700000,8.760000,8.420000,8.450000,8.450000,2458600
2016-03-23,8.410000,8.480000,7.990000,8.230000,8.230000,7926300
2016-03-24,8.070000,8.340000,8.010000,8.320000,8.320000,3519100
2016-03-28,8.320000,8.350000,7.500000,7.730000,7.730000,7811300
2016-03-29,7.680000,8.080000,7.500000,8.070000,8.070000,4019500
2016-03-30,8.140000,8.330000,8.000000,8.110000,8.110000,4749700
2016-03-31,8.130000,8.390000,8.030000,8.300000,8.300000,3616700
2016-04-01,8.200000,8.250000,7.910000,8.040000,8.040000,5836900
2016-04-04,8.030000,8.400000,8.020000,8.170000,8.170000,4156900
2016-04-05,8.090000,8.090000,7.760000,8.000000,8.000000,3848000
2016-04-06,8.010000,8.360000,7.910000,8.240000,8.240000,3438800
2016-04-07,8.180000,8.250000,7.740000,7.860000,7.860000,5188500
2016-04-08,7.960000,7.970000,7.750000,7.940000,7.940000,3336200
2016-04-11,7.970000,8.090000,7.640000,7.690000,7.690000,4407900
2016-04-12,7.740000,7.740000,7.125000,7.610000,7.610000,10791200
2016-04-13,7.620000,7.690000,7.410000,7.560000,7.560000,5041200
2016-04-14,7.570000,7.630000,7.120000,7.440000,7.440000,12411100
2016-04-15,7.360000,7.400000,7.190000,7.310000,7.310000,4548700
2016-04-18,7.300000,7.610000,7.220000,7.530000,7.530000,4324000
2016-04-19,7.570000,8.250000,7.550000,8.030000,8.030000,9525100
2016-04-20,8.060000,8.410000,8.050000,8.280000,8.280000,7120600
2016-04-21,7.920000,7.980000,7.410000,7.740000,7.740000,7358600
2016-04-22,7.730000,7.960000,7.550000,7.640000,7.640000,4323600
2016-04-25,7.630000,7.695000,7.340000,7.390000,7.390000,4764900
2016-04-26,7.440000,7.570000,7.340000,7.520000,7.520000,3414900
2016-04-27,7.650000,8.230000,7.440000,8.120000,8.120000,6846500
2016-04-28,8.100000,8.410000,8.010000,8.090000,8.090000,3869200
2016-04-29,8.080000,8.190000,7.830000,7.900000,7.900000,3987300
2016-05-02,7.950000,8.010000,7.710000,7.930000,7.930000,4445300
2016-05-03,7.380000,7.400000,7.030000,7.110000,7.110000,15918900
2016-05-04,7.050000,7.090000,6.800000,6.920000,6.920000,8650600
2016-05-05,6.850000,6.920000,6.520000,6.850000,6.850000,12986400
2016-05-06,6.770000,7.140000,6.708000,7.100000,7.100000,13795900
2016-05-09,5.420000,5.630000,4.540000,4.620000,4.620000,96011800
