Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,16.000000,16.120001,16.000000,16.020000,16.020000,706800
2016-01-04,15.650000,15.650000,15.200000,15.460000,15.460000,1471700
2016-01-05,15.550000,16.070000,15.483000,15.640000,15.640000,950700
2016-01-06,15.460000,15.900000,15.320000,15.550000,15.550000,1037600
2016-01-07,15.150000,15.340000,14.400000,14.410000,14.410000,1773200
2016-01-08,14.960000,14.990000,14.290000,14.330000,14.330000,1606800
2016-01-11,14.030000,14.040000,13.090000,13.440000,13.440000,2837100
2016-01-12,13.350000,13.880000,13.210000,13.790000,13.790000,1771400
2016-01-13,13.720000,14.005000,13.490000,13.600000,13.600000,1115600
2016-01-14,13.800000,13.800000,13.200000,13.510000,13.510000,841900
2016-01-15,13.440000,13.440000,12.710000,12.990000,12.990000,1205500
2016-01-19,13.480000,13.750000,12.490000,12.800000,12.800000,1929400
2016-01-20,12.600000,12.800000,11.550000,12.290000,12.290000,1872300
2016-01-21,12.200000,12.960000,11.800000,12.480000,12.480000,988400
2016-01-22,12.810000,12.990000,12.400000,12.400000,12.400000,1149800
2016-01-25,12.480000,12.510000,12.060000,12.080000,12.080000,678700
2016-01-26,12.010000,12.400000,11.780000,12.370000,12.370000,734600
2016-01-27,12.340000,12.390000,11.890000,11.930000,11.930000,512200
2016-01-28,11.980000,12.150000,11.670000,11.750000,11.750000,587300
2016-01-29,11.810000,12.100000,11.710000,11.910000,11.910000,545700
2016-02-01,11.790000,11.970000,11.590000,11.760000,11.760000,637500
2016-02-02,11.750000,11.780000,11.130000,11.170000,11.170000,1294800
2016-02-03,11.180000,11.200000,10.330000,10.640000,10.640000,1709700
2016-02-04,10.660000,11.030000,10.490000,10.870000,10.870000,1434800
2016-02-05,10.840000,11.020000,10.400000,10.430000,10.430000,1243200
2016-02-08,10.380000,10.380000,9.265000,9.480000,9.480000,1473900
2016-02-09,9.340000,9.750000,7.975000,8.090000,8.090000,2724400
2016-02-10,8.300000,8.321000,7.780000,7.940000,7.940000,1653500
2016-02-11,7.800000,7.980000,6.720000,7.790000,7.790000,3297500
2016-02-12,8.070000,8.070000,7.350000,7.490000,7.490000,1752800
2016-02-16,7.870000,8.840000,7.810000,8.770000,8.770000,1910400
2016-02-17,8.880000,9.460000,8.410000,9.150000,9.150000,2114200
2016-02-18,9.150000,9.230000,8.960000,9.020000,9.020000,539400
2016-02-19,9.030000,9.290000,8.780000,9.260000,9.260000,668900
2016-02-22,9.410000,10.350000,9.410000,10.020000,10.020000,1418400
2016-02-23,11.300000,12.260000,11.160000,12.000000,12.000000,6877200
2016-02-24,12.030000,12.120000,11.110000,12.090000,12.090000,2598800
2016-02-25,11.330000,11.940000,11.240000,11.930000,11.930000,1295200
2016-02-26,12.330000,12.450000,11.870000,11.960000,11.960000,1108400
2016-02-29,11.900000,12.020000,11.660000,11.780000,11.780000,845800
2016-03-01,11.820000,12.150000,11.790000,12.010000,12.010000,1109800
2016-03-02,12.220000,12.290000,11.910000,12.160000,12.160000,724900
2016-03-03,12.160000,13.200000,12.090000,12.650000,12.650000,2614600
2016-03-04,12.420000,13.750000,12.420000,13.580000,13.580000,1901600
2016-03-07,14.000000,14.720000,12.800000,13.340000,13.340000,4186300
2016-03-08,13.270000,13.880000,13.270000,13.510000,13.510000,1166300
2016-03-09,13.590000,13.930000,13.100000,13.520000,13.520000,909600
2016-03-10,13.450000,13.500000,12.420000,12.810000,12.810000,1311900
2016-03-11,13.110000,13.185000,12.630000,13.140000,13.140000,731200
2016-03-14,13.060000,13.300000,12.960000,13.160000,13.160000,850000
2016-03-15,12.910000,12.910000,11.650000,12.040000,12.040000,2559500
2016-03-16,11.750000,12.340000,11.670000,12.250000,12.250000,941300
2016-03-17,12.000000,12.040000,11.650000,11.970000,11.970000,858600
2016-03-18,12.000000,12.910000,11.900000,12.790000,12.790000,1223400
2016-03-21,12.760000,13.000000,12.660000,12.880000,12.880000,755200
2016-03-22,12.800000,12.900000,12.670000,12.730000,12.730000,449200
2016-03-23,12.750000,12.810000,12.050000,12.170000,12.170000,865100
2016-03-24,12.000000,12.280000,11.720000,12.180000,12.180000,744800
2016-03-28,12.100000,12.160000,11.760000,11.910000,11.910000,513800
2016-03-29,11.860000,11.860000,11.440000,11.510000,11.510000,1340700
2016-03-30,11.690000,12.120000,11.400000,11.430000,11.430000,1588900
2016-03-31,11.490000,11.580000,11.090000,11.240000,11.240000,960600
2016-04-01,11.090000,11.210000,10.570000,10.930000,10.930000,1492600
2016-04-04,10.980000,12.260000,10.970000,12.190000,12.190000,4108500
2016-04-05,12.070000,12.160000,11.520000,12.040000,12.040000,1848800
2016-04-06,14.200000,16.260000,14.100000,16.090000,16.090000,15607800
2016-04-07,16.020000,16.400000,15.610000,16.309999,16.309999,3885800
2016-04-08,16.150000,16.740000,16.150000,16.420000,16.420000,1792800
2016-04-11,16.559999,16.730000,16.340000,16.580000,16.580000,1137400
2016-04-12,16.650000,16.660000,16.299999,16.410000,16.410000,1411500
2016-04-13,16.500000,16.629999,16.250000,16.410000,16.410000,885200
2016-04-14,16.400000,16.490000,16.290001,16.430000,16.430000,631200
2016-04-15,16.500000,16.500000,16.400000,16.490000,16.490000,347600
2016-04-18,16.379999,16.660000,16.370001,16.629999,16.629999,673700
2016-04-19,16.660000,16.660000,16.420000,16.510000,16.510000,557300
2016-04-20,16.500000,16.549999,16.410000,16.510000,16.510000,503700
2016-04-21,16.450001,16.570000,16.450001,16.520000,16.520000,425400
2016-04-22,16.490000,16.540001,16.434999,16.450001,16.450001,575300
2016-04-25,16.480000,16.520000,16.400000,16.490000,16.490000,665700
2016-04-26,16.500000,16.549999,16.420000,16.530001,16.530001,853400
2016-04-27,16.500000,16.549999,16.440001,16.500000,16.500000,620300
2016-04-28,16.549999,16.639999,16.480000,16.510000,16.510000,640700
2016-04-29,16.500000,16.620001,16.410000,16.440001,16.440001,768200
2016-05-02,16.430000,16.490000,16.400000,16.459999,16.459999,491400
2016-05-03,16.459999,16.580000,16.389999,16.440001,16.440001,466400
2016-05-04,16.430000,16.580000,16.410000,16.459999,16.459999,811300
2016-05-05,16.459999,16.540001,13.820000,15.570000,15.570000,6437200
2016-05-06,14.520000,14.990000,14.310000,14.580000,14.580000,2996700
2016-05-09,14.490000,14.500000,12.120000,12.270000,12.270000,5333700
2016-05-10,12.930000,13.400000,12.590000,13.080000,13.080000,2199300
2016-05-11,12.500000,12.630000,10.650000,10.760000,10.760000,5952000
2016-05-12,10.790000,11.590000,10.760000,11.400000,11.400000,6066000
2016-05-13,12.440000,12.760000,11.520000,11.680000,11.680000,2214500
2016-05-16,11.900000,12.300000,11.810000,12.010000,12.010000,2495800
2016-05-17,12.470000,13.070000,11.850000,12.990000,12.990000,3726000
2016-05-18,12.850000,13.110000,12.600000,13.040000,13.040000,1945700
2016-05-19,12.880000,13.040000,12.000000,12.160000,12.160000,1622700
2016-05-20,12.170000,12.680000,12.060000,12.670000,12.670000,1029800
2016-05-23,12.570000,12.790000,12.210000,12.350000,12.350000,723800
2016-05-24,12.350000,12.980000,12.050000,12.900000,12.900000,1271300
2016-05-25,12.600000,12.650000,11.910000,11.990000,11.990000,1418400
2016-05-26,12.020000,12.480000,11.957000,12.340000,12.340000,595100
2016-05-27,12.170000,12.660000,12.100000,12.570000,12.570000,580700
2016-05-31,12.620000,12.790000,12.450000,12.780000,12.780000,1065800
2016-06-01,12.650000,12.880000,12.450000,12.630000,12.630000,743600
2016-06-02,12.740000,12.750000,12.560000,12.670000,12.670000,264400
2016-06-03,12.600000,12.630000,12.370000,12.530000,12.530000,362800
2016-06-06,12.600000,13.000000,12.500000,12.920000,12.920000,634500
2016-06-07,12.810000,12.915000,12.700000,12.820000,12.820000,313200
2016-06-08,12.780000,12.850000,12.545000,12.610000,12.610000,309100
2016-06-09,12.560000,12.750000,12.460000,12.540000,12.540000,190300
2016-06-10,12.410000,12.440000,12.150000,12.180000,12.180000,679500
2016-06-13,12.100000,12.570000,12.100000,12.370000,12.370000,371300
2016-06-14,12.290000,12.340000,11.770000,12.020000,12.020000,602800
2016-06-15,11.890000,12.120000,11.800000,12.080000,12.080000,708900
2016-06-16,11.930000,12.040000,11.020000,11.170000,11.170000,1124300
2016-06-17,11.230000,11.520000,11.090000,11.450000,11.450000,768300
2016-06-20,11.470000,11.870000,11.298000,11.510000,11.510000,446000
2016-06-21,11.580000,11.665000,11.170000,11.220000,11.220000,321800
2016-06-22,11.280000,11.280000,10.680000,10.750000,10.750000,1144600
2016-06-23,10.840000,10.970000,10.500000,10.740000,10.740000,1218600
2016-06-24,10.080000,10.820000,9.900000,10.700000,10.700000,1246300
2016-06-27,10.550000,10.610000,10.150000,10.240000,10.240000,878200
2016-06-28,10.300000,10.620000,10.300000,10.430000,10.430000,482300
2016-06-29,10.530000,10.620000,10.010000,10.180000,10.180000,739600
2016-06-30,10.000000,10.270000,9.680000,10.110000,10.110000,1110700
2016-07-01,10.100000,10.170000,9.860000,9.950000,9.950000,598600
2016-07-05,9.950000,10.003000,8.880000,9.360000,9.360000,1204800
2016-07-06,9.340000,9.970000,9.040000,9.910000,9.910000,948100
2016-07-07,10.010000,11.730000,10.010000,11.650000,11.650000,3246600
2016-07-08,11.590000,11.780000,10.840000,11.680000,11.680000,1036000
2016-07-11,11.990000,13.470000,11.920000,12.550000,12.550000,2763200
2016-07-12,12.690000,13.190000,12.600000,12.620000,12.620000,1239500
2016-07-13,12.710000,12.800000,12.030000,12.210000,12.210000,727500
2016-07-14,12.710000,13.150000,12.380000,12.690000,12.690000,864400
