Symbol,Name,Currency
00837,谭木匠,HKD
00107,四川成渝高速公路,HKD
00133,招商局中国基金,HKD
01988,民生银行,HKD
00272,瑞安房地产,HKD
02883,中海油田服务,HKD
00320,金宝通,HKD
03399,粤运交通,HKD
00512,远大医药,HKD
00587,华瀚健康,HKD
00998,中信银行,HKD
00635,彩星集团,HKD
00861,神州控股,HKD
01548,金斯瑞生物科技,HKD
01333,中国忠旺,HKD
01088,中国神华,HKD
00165,中国光大控股,HKD
03800,保利协鑫能源,HKD
00175,吉利汽车,HKD
02800,盈富基金,HKD
00520,呷哺呷哺,HKD
00939,建设银行,HKD
01093,石药集团,HKD
01362,新龙移动,HKD
01055,中国南方航空股份,HKD
00106,朗诗绿色地产,HKD
06837,海通证券,HKD
01211,比亚迪股份,HKD
01378,中国宏桥,HKD
01530,三生制药,HKD
01968,匹克体育,HKD
01918,融创中国,HKD
00966,中国太平,HKD
02202,万科企业,HKD
02238,广汽集团,HKD
02333,长城汽车,HKD
02382,舜宇光学科技,HKD
00255,龙记集团,HKD
02601,中国太保,HKD
02666,环球医疗,HKD
00305,五菱汽车,HKD
00348,龙昌数码科技,HKD
03618,重庆农村商业银行,HKD
03818,中国动向,HKD
03900,绿城中国,HKD
00392,北京控股,HKD
03968,招商银行,HKD
00410,SOHO中国,HKD
00493,国美零售,HKD
00586,海螺创业,HKD
00656,复星国际,HKD
00735,中国电力新能源,HKD
00777,网龙,HKD
08058,罗欣药业,HKD
08095,北大青鸟环宇,HKD
00819,天能动力,HKD
00893,中国铁钛,HKD
00929,国际精密,HKD
00951,超威动力,HKD
03883,中国奥园,HKD
02007,碧桂园,HKD
00558,力劲科技,HKD
