,Fund,Earning,Value,Market,Commission,Tax
2015-12-31,223067.2,80460.04,303527.24,154416.11,2637.37,2089.18
2016-01-01,457567.2,80460.59,538027.79,154419.5,2637.42,2089.18
2016-01-02,457567.2,80460.59,538027.79,154419.5,2637.42,2089.18
2016-01-03,457567.2,80460.59,538027.79,154419.5,2637.42,2089.18
2016-01-04,457567.2,73200.68,530767.88,237308.85,2671.21,2116.18
2016-01-05,457567.2,75215.98,532783.18,226899.73,2685.65,2127.18
2016-01-06,457567.2,76766.24,534333.44,236518.38,2691.84,2136.18
2016-01-07,457567.2,63916.99,521484.19,259943.28,2716.48,2173.18
2016-01-08,457567.2,64581.81,522149.01,276754.63,2723.34,2190.18
2016-01-09,457567.2,64588.63,522155.83,276875.4,2724.42,2190.18
2016-01-10,457567.2,65080.82,522648.02,297886.41,2760.61,2211.73
2016-01-11,457567.2,54984.92,512552.12,331726.07,2792.96,2244.15
2016-01-12,457567.2,56759.0,514326.2,350975.31,2799.1,2262.15
2016-01-13,457567.2,53136.22,510703.42,334072.83,2861.79,2262.15
2016-01-14,457567.2,55830.54,513397.74,331182.17,2873.62,2278.15
2016-01-15,457567.2,45786.11,503353.31,321457.19,2876.91,2278.15
2016-01-16,457567.2,45780.76,503347.96,321587.5,2878.31,2278.15
2016-01-17,457567.2,45782.51,503349.71,321544.86,2877.85,2278.15
2016-01-18,457567.2,43082.51,500649.71,318844.86,2877.85,2278.15
2016-01-19,457567.2,47973.9,505541.1,327093.58,2884.47,2282.15
2016-01-20,457567.2,39611.4,497178.6,350961.19,2902.53,2282.15
2016-01-21,457567.2,36466.06,494033.26,347955.47,2903.63,2282.15
2016-01-22,457567.2,44433.34,502000.54,355722.35,2902.05,2282.15
2016-01-23,457567.2,44430.42,501997.62,355307.14,2898.81,2282.15
2016-01-24,457567.2,44431.45,501998.65,355452.71,2899.95,2282.15
2016-01-25,457567.2,44002.75,501569.95,329763.19,2908.2,2282.15
2016-01-26,457567.2,39721.53,497288.73,351400.91,2942.77,2309.85
2016-01-27,457567.2,35982.3,493549.5,347740.81,2943.55,2309.85
2016-01-28,457567.2,34024.44,491591.64,325520.52,3077.24,2309.85
2016-01-29,457567.2,42964.81,500532.01,334450.3,3077.09,2309.85
2016-01-30,457567.2,42966.36,500533.56,334403.15,3076.41,2309.85
2016-01-31,457567.2,42969.13,500536.33,334319.1,3075.2,2309.85
2016-02-01,457567.2,41983.47,499550.67,333333.44,3075.2,2309.85
2016-02-02,457567.2,36750.74,494317.94,323203.68,3098.1,2332.85
2016-02-03,457567.2,30154.68,487721.88,316784.42,3100.57,2332.85
2016-02-04,457567.2,38687.59,496254.79,325370.27,3101.3,2332.85
2016-02-05,457567.2,36078.87,493646.07,322646.15,3099.7,2332.85
2016-02-06,457567.2,36070.54,493637.74,322721.45,3100.86,2332.85
2016-02-07,457567.2,36075.28,493642.48,322678.56,3100.2,2332.85
2016-02-08,457567.2,32624.58,490191.78,319227.86,3100.2,2332.85
2016-02-09,457567.2,31787.1,489354.3,318416.85,3100.57,2332.85
2016-02-10,457567.2,30951.92,488519.12,317638.83,3101.36,2332.85
2016-02-11,457567.2,19536.33,477103.53,319898.66,3107.02,2346.85
