,Fund,Earning,Value,Market,Commission,Tax
2015-12-31,223067.2,80460.04,303527.24,154416.11,2637.37,2089.18
2016-01-31,457567.2,42969.13,500536.33,334319.1,3075.2,2309.85
2016-02-29,457567.2,59949.38,517516.58,368016.18,3199.54,2437.79
2016-03-31,457567.2,89684.43,547251.63,341205.37,3355.16,2659.66
2016-04-30,457567.2,98631.66,556198.86,335968.62,3562.61,2859.11
2016-05-31,457567.2,108248.0,565815.2,374387.36,3940.31,3183.09
2016-06-30,457567.2,117456.15,575023.35,507800.0,4475.62,4210.46
2016-07-31,457567.2,137879.92,595447.12,502760.0,4661.72,4713.24
2016-08-31,457567.2,165959.27,623526.47,455005.0,4977.47,5109.0
2016-09-30,457567.2,172816.58,630383.78,513743.0,5143.05,5264.17
2016-10-31,457567.2,153793.99,611361.19,446108.0,5423.43,5637.9
2016-11-30,457567.2,197315.18,654882.38,609262.0,5705.94,5917.19
2016-12-31,457567.2,183133.55,640700.75,481140.0,5999.1,6251.13
2017-01-31,457567.2,198318.62,655885.82,431184.0,6121.19,6483.43
2017-02-28,457567.2,247990.92,705558.12,630086.0,6459.18,6885.16
2017-03-31,457567.2,303123.63,760690.83,726594.0,6710.25,7112.39
2017-04-30,457567.2,304784.15,762351.35,734160.0,7043.7,7592.61
2017-05-31,457567.2,444814.33,902381.53,913589.62,7261.39,10129.74
2017-06-30,457567.2,615751.76,1073318.96,948700.0,7552.99,10717.12
2017-07-31,457567.2,824358.45,1281925.65,1206840.0,7700.88,11184.25
2017-08-31,457567.2,935979.46,1393546.66,1119185.0,8128.2,11919.94
2017-09-30,457567.2,1300621.05,1758188.25,1643410.0,8453.7,12395.98
2017-10-31,457567.2,1465657.82,1923225.02,1659090.0,9330.96,14482.98
2017-11-30,457567.2,1391113.26,1848680.46,1485621.83,9780.27,15440.81
2017-12-31,100567.2,1413425.31,1513992.51,1174820.0,10353.32,16148.82
