Date,Fund,Earning,Market,Value,Commission,Tax
2015-12-31,1405000.0,0.0,703004.5,1405000.0,0.0,0.0
2016-01-01,1405000.0,0.0,703004.5,1405000.0,0.0,0.0
2016-01-02,1405000.0,0.0,703004.5,1405000.0,0.0,0.0
2016-01-03,1405000.0,0.0,703004.5,1405000.0,0.0,0.0
2016-01-04,1405000.0,-35334.5,755771.0,1369665.5,30.0,0.0
2016-01-05,1405000.0,-32443.5,806621.0,1372556.5,50.0,0.0
2016-01-06,1405000.0,-28690.5,802499.0,1376309.5,55.0,0.0
2016-01-07,1405000.0,-64868.7,812866.5,1340131.3,92.7,0.0
2016-01-08,1405000.0,-54852.43,789196.5,1350147.57,102.7,33.73
2016-01-09,1405000.0,-54852.43,789196.5,1350147.57,102.7,33.73
2016-01-10,1405000.0,-54852.43,789196.5,1350147.57,102.7,33.73
2016-01-11,1405000.0,-84084.4,755253.0,1320915.6,137.7,83.2
2016-01-12,1405000.0,-85363.33,741304.5,1319636.67,157.7,113.63
2016-01-13,1405000.0,-87513.83,730239.0,1317486.17,162.7,113.63
2016-01-14,1405000.0,-78972.82,669313.0,1326027.18,215.82,126.55
2016-01-15,1405000.0,-95560.82,668955.0,1309439.18,220.82,126.55
2016-01-16,1505000.0,-95560.82,668955.0,1409439.18,220.82,126.55
2016-01-17,1505000.0,-95560.82,668955.0,1409439.18,220.82,126.55
2016-01-18,1505000.0,-95295.32,676084.5,1409704.68,225.82,126.55
2016-01-19,1505000.0,-74523.82,696856.0,1430476.18,225.82,126.55
2016-01-20,1505000.0,-89346.82,682033.0,1415653.18,225.82,126.55
2016-01-21,1505000.0,-103935.37,657149.0,1401064.63,258.33,176.59
2016-01-22,1505000.0,-95408.37,665421.0,1409591.63,258.33,176.59
2016-01-23,1505000.0,-95408.37,665421.0,1409591.63,258.33,176.59
2016-01-24,1505000.0,-95408.37,665421.0,1409591.63,258.33,176.59
2016-01-25,1517962.0,-91218.87,669610.5,1426743.13,258.33,176.59
2016-01-26,1517962.0,-117885.87,687346.5,1400076.13,278.33,176.59
2016-01-27,1517962.0,-118635.87,704524.5,1399326.13,288.33,176.59
2016-01-28,1517962.0,-131326.58,679641.0,1386635.42,293.33,188.8
2016-01-29,1517962.0,-112416.08,750122.5,1405545.92,328.63,230.8
2016-01-30,1517962.0,-112416.08,750122.5,1405545.92,328.63,230.8
2016-01-31,1517962.0,-112416.08,750122.5,1405545.92,328.63,230.8
2016-02-01,1517962.0,-117111.59,785953.5,1400850.41,358.95,267.22
2016-02-02,1517962.0,-104910.78,775637.5,1413051.22,364.59,289.77
2016-02-03,1517962.0,-109299.28,771249.0,1408662.72,364.59,289.77
2016-02-04,1517962.0,-101629.78,793693.5,1416332.22,369.59,289.77
2016-02-05,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-06,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-07,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-08,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-09,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-10,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-11,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-12,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-13,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-14,1517962.0,-104768.91,766040.5,1413193.09,375.72,289.77
2016-02-15,1517962.0,-115421.07,720906.5,1402540.93,384.35,324.3
2016-02-16,1517962.0,-100124.57,751328.0,1417837.43,389.35,324.3
2016-02-17,1517962.0,-96422.57,749470.0,1421539.43,399.35,324.3
2016-02-18,1517962.0,-92736.07,753156.5,1425225.93,399.35,324.3
2016-02-19,1517962.0,-93436.07,752456.5,1424525.93,399.35,324.3
2016-02-20,1517962.0,-93436.07,752456.5,1424525.93,399.35,324.3
2016-02-21,1517962.0,-93436.07,752456.5,1424525.93,399.35,324.3
2016-02-22,1517962.0,-83999.77,722395.0,1433962.23,411.79,354.06
2016-02-23,1517962.0,-82663.27,723731.5,1435298.73,411.79,354.06
2016-02-24,1517962.0,-79678.77,726716.0,1438283.23,411.79,354.06
2016-02-25,1517962.0,-101298.27,705096.5,1416663.73,411.79,354.06
2016-02-26,1517962.0,-94398.77,711996.0,1423563.23,411.79,354.06
2016-02-27,1517962.0,-94398.77,711996.0,1423563.23,411.79,354.06
2016-02-28,1517962.0,-94398.77,711996.0,1423563.23,411.79,354.06
2016-02-29,1517962.0,-101683.27,704711.5,1416278.73,411.79,354.06
2016-03-01,1517962.0,-93261.77,713133.0,1424700.23,411.79,354.06
2016-03-02,1517962.0,-69321.77,737073.0,1448640.23,411.79,354.06
2016-03-03,1517962.0,-62618.27,743776.5,1455343.73,411.79,354.06
2016-03-04,1517962.0,-52667.77,753727.0,1465294.23,411.79,354.06
2016-03-05,1517962.0,-52667.77,753727.0,1465294.23,411.79,354.06
2016-03-06,1517962.0,-52667.77,753727.0,1465294.23,411.79,354.06
2016-03-07,1517962.0,-55889.67,805006.4,1462072.33,425.41,354.06
2016-03-08,1517962.0,-61155.27,799740.8,1456806.73,425.41,354.06
2016-03-09,1517962.0,-67667.2,722706.0,1450294.8,444.01,377.59
2016-03-10,1517962.0,-69844.2,720529.0,1448117.8,444.01,377.59
2016-03-11,1517962.0,-70160.7,720212.5,1447801.3,444.01,377.59
2016-03-12,1517962.0,-70160.7,720212.5,1447801.3,444.01,377.59
2016-03-13,1517962.0,-70160.7,720212.5,1447801.3,444.01,377.59
2016-03-14,1517962.0,-62447.7,727925.5,1455514.3,444.01,377.59
2016-03-15,1517962.0,-58355.2,732018.0,1459606.8,444.01,377.59
2016-03-16,1517962.0,-58931.7,731441.5,1459030.3,444.01,377.59
2016-03-17,1517962.0,-50449.2,739924.0,1467512.8,444.01,377.59
2016-03-18,1517962.0,-48868.2,741505.0,1469093.8,444.01,377.59
2016-03-19,1517962.0,-48868.2,741505.0,1469093.8,444.01,377.59
2016-03-20,1517962.0,-48868.2,741505.0,1469093.8,444.01,377.59
2016-03-21,1517962.0,-39901.2,750472.0,1478060.8,444.01,377.59
2016-03-22,1517962.0,-35279.7,755093.5,1482682.3,444.01,377.59
2016-03-23,1517962.0,-33262.7,757110.5,1484699.3,444.01,377.59
2016-03-24,1517962.0,-31304.2,759069.0,1486657.8,444.01,377.59
2016-03-25,1517962.0,-25651.2,764722.0,1492310.8,444.01,377.59
2016-03-26,1517962.0,-25651.2,764722.0,1492310.8,444.01,377.59
2016-03-27,1517962.0,-25651.2,764722.0,1492310.8,444.01,377.59
2016-03-28,1517962.0,-22766.2,767607.0,1495195.8,444.01,377.59
2016-03-29,1517962.0,-22571.44,748086.5,1495390.56,449.01,397.33
2016-03-30,1517962.0,-9313.94,761344.0,1508648.06,449.01,397.33
2016-03-31,1517962.0,-12576.94,758081.0,1505385.06,449.01,397.33
2016-04-01,1517962.0,-11725.52,654658.5,1506236.48,475.09,397.33
2016-04-02,1517962.0,-11725.52,654658.5,1506236.48,475.09,397.33
2016-04-03,1517962.0,-11725.52,654658.5,1506236.48,475.09,397.33
2016-04-04,1517962.0,-11725.52,654658.5,1506236.48,475.09,397.33
2016-04-05,1517962.0,-10271.02,656113.0,1507690.98,475.09,397.33
2016-04-06,1517962.0,-3877.52,662506.5,1514084.48,475.09,397.33
2016-04-07,1517962.0,-10555.19,643181.0,1507406.81,480.09,410.0
2016-04-08,1517962.0,-17605.19,636131.0,1500356.81,480.09,410.0
