Date,Fund,Earning,Market,Value,Commission,Tax
2015-12-31,223067.2,80460.04,154416.11,303527.24,2637.37,2089.18
2016-01-01,457567.2,80460.59,154419.5,538027.79,2637.42,2089.18
2016-01-02,457567.2,80460.59,154419.5,538027.79,2637.42,2089.18
2016-01-03,457567.2,80460.59,154419.5,538027.79,2637.42,2089.18
2016-01-04,457567.2,73200.68,237308.85,530767.88,2671.21,2116.18
2016-01-05,457567.2,75215.98,226899.73,532783.18,2685.65,2127.18
2016-01-06,457567.2,76766.25,236518.38,534333.45,2691.84,2136.18
2016-01-07,457567.2,63916.99,259943.28,521484.19,2716.48,2173.18
2016-01-08,457567.2,64581.82,276754.63,522149.02,2723.34,2190.18
2016-01-09,457567.2,64588.64,276875.4,522155.84,2724.42,2190.18
2016-01-10,457567.2,65080.82,297886.41,522648.02,2760.61,2211.73
2016-01-11,457567.2,54984.93,331726.07,512552.13,2792.96,2244.15
2016-01-12,457567.2,56759.02,350975.31,514326.22,2799.1,2262.15
2016-01-13,457567.2,53136.23,334072.83,510703.43,2861.79,2262.15
2016-01-14,457567.2,55830.55,331182.17,513397.75,2873.62,2278.15
2016-01-15,457567.2,45786.12,321457.19,503353.32,2876.91,2278.15
2016-01-16,457567.2,45780.77,321587.5,503347.97,2878.31,2278.15
2016-01-17,457567.2,45782.52,321544.86,503349.72,2877.85,2278.15
2016-01-18,457567.2,43082.52,318844.86,500649.72,2877.85,2278.15
2016-01-19,457567.2,47973.9,327093.58,505541.1,2884.47,2282.15
2016-01-20,457567.2,39611.41,350961.19,497178.61,2902.53,2282.15
2016-01-21,457567.2,36466.07,347955.47,494033.27,2903.63,2282.15
2016-01-22,457567.2,44433.35,355722.35,502000.55,2902.05,2282.15
2016-01-23,457567.2,44430.43,355307.14,501997.63,2898.81,2282.15
2016-01-24,457567.2,44431.46,355452.71,501998.66,2899.95,2282.15
2016-01-25,457567.2,44002.76,329763.19,501569.96,2908.2,2282.15
2016-01-26,457567.2,39721.54,351400.91,497288.74,2942.77,2309.85
2016-01-27,457567.2,35982.31,347740.81,493549.51,2943.55,2309.85
2016-01-28,457567.2,34024.46,325520.52,491591.66,3077.24,2309.85
2016-01-29,457567.2,42964.82,334450.3,500532.02,3077.09,2309.85
2016-01-30,457567.2,42966.37,334403.15,500533.57,3076.41,2309.85
2016-01-31,457567.2,42969.14,334319.1,500536.34,3075.2,2309.85
2016-02-01,457567.2,41983.48,333333.44,499550.68,3075.2,2309.85
2016-02-02,457567.2,36750.75,323203.68,494317.95,3098.1,2332.85
2016-02-03,457567.2,30154.69,316784.42,487721.89,3100.57,2332.85
2016-02-04,457567.2,38687.61,325370.27,496254.81,3101.3,2332.85
2016-02-05,457567.2,36078.88,322646.15,493646.08,3099.7,2332.85
2016-02-06,457567.2,36070.54,322721.45,493637.74,3100.86,2332.85
2016-02-07,457567.2,36075.29,322678.56,493642.49,3100.2,2332.85
2016-02-08,457567.2,32624.59,319227.86,490191.79,3100.2,2332.85
2016-02-09,457567.2,31787.11,318416.85,489354.31,3100.57,2332.85
2016-02-10,457567.2,30951.93,317638.83,488519.13,3101.36,2332.85
2016-02-11,457567.2,19536.34,319898.66,477103.54,3107.02,2346.85
2016-02-12,457567.2,17084.73,350847.7,474651.93,3142.22,2385.85
