Date,Earning,Market,Value,Commission,Tax
2015-12-31,0.0,703004.5,1405000.0,0.0,0.0
2016-01-31,-112416.08,750122.5,1405545.92,328.63,230.8
2016-02-29,-101683.27,704711.5,1416278.73,411.79,354.06
2016-03-31,-12576.94,758081.0,1505385.06,449.01,397.33
2016-04-30,-22302.67,543615.0,1495659.33,535.64,545.92
2016-05-31,-8472.43,602400.0,1189489.57,573.87,755.72
2016-06-30,13594.48,775880.0,1211556.48,634.46,989.61
2016-07-31,53143.06,719865.0,1251105.06,706.06,1876.81
2016-08-31,79814.3,830862.0,1277776.3,806.51,1988.22
2016-09-30,88760.16,834728.0,1286722.16,874.14,2278.73
2016-10-31,123389.11,1015546.7,1321351.11,994.5,2374.33
2016-11-30,189035.64,748604.0,1386997.64,1075.85,2593.55
2016-12-31,184073.53,900130.0,1352035.53,1301.17,3212.96
2017-01-31,222391.2,872712.0,1420353.2,1363.14,3380.54
2017-02-28,256499.97,892170.0,1454461.97,1386.2,3435.16
2017-03-31,312552.43,1140830.0,1510514.44,1486.65,3656.17
2017-04-30,318001.86,1332850.0,1515963.86,1648.06,4247.37
2017-05-31,537039.59,1676460.0,1735001.59,1826.56,5052.2
2017-06-30,718117.24,1700120.0,1836079.24,2083.59,6239.63
2017-07-31,694701.56,1470030.0,1812663.56,2315.67,7555.35
2017-08-31,788343.98,1491660.0,1936305.98,2507.84,8150.16
2017-09-30,788981.63,1607540.0,1916943.63,2737.85,8578.64
2017-10-31,878829.43,1832300.0,1986791.43,2787.75,8610.72
2017-11-30,963138.55,1763190.0,2111100.55,2890.95,8887.33
2017-12-31,1024190.26,1891240.0,2345905.26,2970.19,8974.61
