Date,Close
2015-01-19,3.06
2015-01-20,3.17
2015-01-21,3.2
2015-01-22,3.15
2015-01-23,3.14
2015-01-26,3.14
2015-01-27,3.15
2015-01-28,3.32
2015-01-29,3.22
2015-01-30,3.27
2015-02-02,3.23
2015-02-03,3.21
2015-02-04,3.21
2015-02-05,3.18
2015-02-06,3.16
2015-02-09,3.11
2015-02-10,3.11
2015-02-11,3.12
2015-02-12,3.17
2015-02-13,3.15
2015-02-16,3.14
2015-02-17,3.14
2015-02-18,3.12
2015-02-23,3.12
2015-02-24,3.1
2015-02-25,3.11
2015-02-26,3.14
2015-02-27,3.16
2015-03-02,3.16
2015-03-03,3.12
2015-03-04,3.12
2015-03-05,3.05
2015-03-06,3.07
2015-03-09,3.06
2015-03-10,3.04
2015-03-11,3.06
2015-03-12,3.07
2015-03-13,3.08
2015-03-16,3.07
2015-03-17,3.09
2015-03-18,3.12
2015-03-19,3.14
2015-03-20,3.16
2015-03-23,3.17
2015-03-24,3.13
2015-03-25,3.13
2015-03-26,3.05
2015-03-27,2.9
2015-03-30,3.23
2015-03-31,3.28
2015-04-01,3.35
2015-04-02,3.54
2015-04-08,4.26
2015-04-09,4.65
2015-04-10,4.56
2015-04-13,4.72
2015-04-14,4.89
2015-04-15,4.78
2015-04-16,4.74
2015-04-17,4.66
2015-04-20,4.28
2015-04-21,4.4
2015-04-22,4.44
2015-04-23,4.41
2015-04-24,4.37
2015-04-27,4.38
2015-04-28,4.46
2015-04-29,4.38
2015-04-30,4.27
2015-05-04,4.25
2015-05-05,4.08
2015-05-06,3.8
2015-05-07,3.66
2015-05-08,3.9
2015-05-11,3.94
2015-05-12,3.89
2015-05-13,3.96
2015-05-14,3.86
2015-05-15,3.83
2015-05-18,3.83
2015-05-19,3.91
2015-05-20,4.01
2015-05-21,4.05
2015-05-22,4.01
2015-05-26,4.19
2015-05-27,4.12
2015-05-28,4.01
2015-05-29,4.0
2015-06-01,4.04
2015-06-02,3.95
2015-06-03,3.9
2015-06-04,3.84
2015-06-05,3.77
2015-06-08,3.82
2015-06-09,3.69
2015-06-10,3.69
2015-06-11,3.7
2015-06-12,3.84
2015-06-15,3.9
2015-06-16,3.71
2015-06-17,3.78
2015-06-18,3.75
2015-06-19,3.59
2015-06-22,3.59
2015-06-23,3.69
2015-06-24,3.78
2015-06-25,3.71
2015-06-26,3.56
2015-06-29,3.34
2015-06-30,3.42
2015-07-02,3.23
2015-07-03,3.1
2015-07-06,2.87
2015-07-07,2.69
2015-07-08,2.46
2015-07-09,2.75
2015-07-10,2.94
2015-07-13,3.14
2015-07-14,3.02
2015-07-15,2.89
2015-07-16,2.93
2015-07-17,3.02
2015-07-20,3.01
2015-07-21,3.22
2015-07-22,3.18
2015-07-23,3.23
2015-07-24,3.17
2015-07-27,2.85
2015-07-28,2.83
2015-07-29,2.93
2015-07-30,2.88
2015-07-31,2.94
2015-08-03,2.91
2015-08-04,2.92
2015-08-05,2.96
2015-08-06,2.92
2015-08-07,3.01
2015-08-10,3.12
2015-08-11,3.15
2015-08-12,3.08
2015-08-13,3.07
2015-08-14,2.98
2015-08-17,2.91
2015-08-18,2.86
2015-08-19,2.83
2015-08-20,2.74
2015-08-21,2.62
2015-08-24,2.42
2015-08-25,2.38
2015-08-26,2.4
2015-08-27,2.52
2015-08-28,2.54
2015-08-31,2.47
2015-09-01,2.43
2015-09-02,2.35
2015-09-04,2.32
2015-09-07,2.31
2015-09-08,2.44
2015-09-09,2.58
2015-09-10,2.55
2015-09-11,2.59
2015-09-14,2.53
2015-09-15,2.5
2015-09-16,2.59
2015-09-17,2.58
2015-09-18,2.58
2015-09-21,2.59
2015-09-22,2.58
2015-09-23,2.46
2015-09-24,2.49
2015-09-25,2.5
2015-09-29,2.43
2015-09-30,2.43
2015-10-02,2.51
2015-10-05,2.53
2015-10-06,2.53
2015-10-07,2.63
2015-10-08,2.65
2015-10-09,2.66
