Date,Close
2015-12-31,54.52
2016-01-04,54.67
2016-01-05,55.09
2016-01-06,59.4
2016-01-07,57.22
2016-01-08,56.6
2016-01-11,55.0
2016-01-12,54.72
2016-01-13,48.37
2016-01-14,50.06
2016-01-15,48.49
2016-01-19,47.32
2016-01-20,47.97
2016-01-21,49.7
2016-01-22,50.01
2016-01-25,48.77
2016-01-26,51.66
2016-01-27,47.31
2016-01-28,45.0
2016-01-29,47.18
2016-02-01,47.23
2016-02-02,45.06
2016-02-03,44.75
2016-02-04,49.82
2016-02-05,45.25
2016-02-08,42.46
2016-02-09,41.45
2016-02-10,40.09
2016-02-11,38.55
2016-02-12,39.8
2016-02-16,41.62
2016-02-17,42.13
2016-02-18,43.33
2016-02-19,42.28
2016-02-22,45.59
2016-02-23,44.79
2016-02-24,52.17
2016-02-25,56.17
2016-02-26,59.3
2016-02-29,56.92
2016-03-01,55.88
2016-03-02,58.9
2016-03-03,61.0
2016-03-04,59.31
2016-03-07,64.23
2016-03-08,60.79
2016-03-09,61.16
2016-03-10,59.03
2016-03-11,60.0
2016-03-14,59.63
2016-03-15,55.89
2016-03-16,57.76
2016-03-17,57.83
2016-03-18,56.2
2016-03-21,56.6
2016-03-22,56.11
2016-03-23,54.91
2016-03-24,54.61
2016-03-28,51.17
2016-03-29,52.15
2016-03-30,53.29
2016-03-31,55.54
2016-04-01,54.16
2016-04-04,57.47
2016-04-05,56.56
2016-04-06,58.8
2016-04-07,59.76
2016-04-08,56.28
2016-04-11,52.51
2016-04-12,53.04
2016-04-13,56.03
2016-04-14,57.54
2016-04-15,59.42
2016-04-18,58.93
2016-04-19,59.41
2016-04-20,65.18
2016-04-21,65.24
2016-04-22,67.47
2016-04-25,68.69
2016-04-26,68.79
2016-04-27,69.45
2016-04-28,67.59
2016-04-29,68.12
2016-05-02,66.81
2016-05-03,65.69
2016-05-04,61.4
2016-05-05,59.28
2016-05-06,60.24
2016-05-09,58.17
2016-05-10,59.1
2016-05-11,63.62
2016-05-12,63.27
2016-05-13,63.15
2016-05-16,64.36
2016-05-17,64.52
2016-05-18,66.25
2016-05-19,67.41
2016-05-20,67.72
2016-05-23,69.34
2016-05-24,71.85
2016-05-25,72.13
2016-05-26,72.24
2016-05-27,72.35
2016-05-31,71.5
2016-06-01,61.57
2016-06-02,62.24
2016-06-03,61.79
2016-06-06,62.26
2016-06-07,59.59
2016-06-08,57.14
2016-06-09,54.12
2016-06-10,51.55
2016-06-13,50.72
2016-06-14,53.02
2016-06-15,52.52
2016-06-16,50.16
2016-06-17,49.36
2016-06-20,49.81
2016-06-21,49.76
2016-06-22,49.88
2016-06-23,50.02
2016-06-24,49.0
2016-06-27,48.5
2016-06-28,49.28
2016-06-29,51.37
2016-06-30,51.66
2016-07-01,51.25
2016-07-05,50.39
2016-07-06,55.75
2016-07-07,57.09
2016-07-08,57.06
2016-07-11,55.05
2016-07-12,55.85
2016-07-13,56.26
2016-07-14,53.11
2016-07-15,53.97
2016-07-18,54.98
2016-07-19,52.56
2016-07-20,53.44
2016-07-21,49.27
2016-07-22,47.1
2016-07-25,47.38
2016-07-26,47.4
2016-07-27,48.06
2016-07-28,45.52
2016-07-29,44.57
2016-08-01,44.79
2016-08-02,43.72
2016-08-03,44.8
2016-08-04,44.45
2016-08-05,45.1
2016-08-08,45.04
2016-08-09,45.02
2016-08-10,43.61
2016-08-11,43.02
2016-08-12,42.89
2016-08-15,42.49
2016-08-16,42.13
2016-08-17,41.55
2016-08-18,42.59
2016-08-19,42.12
2016-08-22,42.99
2016-08-23,44.92
2016-08-24,43.34
2016-08-25,43.46
2016-08-26,42.75
2016-08-29,42.61
2016-08-30,42.75
2016-08-31,42.56
2016-09-01,42.11
2016-09-02,44.84
2016-09-06,43.56
2016-09-07,35.7
2016-09-08,36.6
2016-09-09,37.25
2016-09-12,37.78
2016-09-13,39.27
2016-09-14,39.1
2016-09-15,39.84
2016-09-16,40.06
2016-09-19,40.87
2016-09-20,40.66
2016-09-21,42.21
2016-09-22,42.86
2016-09-23,40.83
2016-09-26,41.01
2016-09-27,41.85
2016-09-28,42.15
2016-09-29,41.37
2016-09-30,43.05
2016-10-03,41.28
2016-10-04,40.71
2016-10-05,41.03
2016-10-06,39.73
2016-10-07,39.65
2016-10-10,40.97
2016-10-11,40.06
2016-10-12,38.91
2016-10-13,38.89
2016-10-14,38.95
2016-10-17,37.2
2016-10-18,37.9
2016-10-19,37.7
2016-10-20,35.62
2016-10-21,35.38
2016-10-24,33.53
2016-10-25,32.55
2016-10-26,31.55
2016-10-27,29.71
2016-10-28,29.4
2016-10-31,30.12
2016-11-01,26.87
2016-11-02,8.6
2016-11-03,8.79
2016-11-04,8.49
2016-11-07,8.48
2016-11-08,8.93
2016-11-09,8.65
2016-11-10,9.0
2016-11-11,9.71
2016-11-14,10.57
2016-11-15,11.07
2016-11-16,10.89
2016-11-17,11.16
2016-11-18,10.61
2016-11-21,10.62
2016-11-22,9.81
2016-11-23,10.0
2016-11-25,10.01
2016-11-28,8.94
2016-11-29,8.29
2016-11-30,8.38
2016-12-01,8.43
2016-12-02,8.33
2016-12-05,8.41
2016-12-06,8.2
2016-12-07,8.02
2016-12-08,8.37
2016-12-09,8.45
2016-12-12,8.27
2016-12-13,8.29
2016-12-14,8.11
2016-12-15,8.14
2016-12-16,8.41
2016-12-19,8.1
2016-12-20,8.02
2016-12-21,7.8
2016-12-22,7.81
2016-12-23,7.81
2016-12-27,7.81
2016-12-28,7.8
2016-12-29,7.78
2016-12-30,7.64
2017-01-03,8.49
2017-01-04,8.84
2017-01-05,8.67
2017-01-06,8.25
2017-01-09,8.2
2017-01-10,8.35
2017-01-11,8.16
2017-01-12,8.17
2017-01-13,8.48
2017-01-17,8.68
2017-01-18,8.43
2017-01-19,8.01
2017-01-20,7.97
2017-01-23,7.91
2017-01-24,7.83
2017-01-25,8.1
2017-01-26,7.85
2017-01-27,7.79
2017-01-30,7.25
2017-01-31,7.17
2017-02-01,7.46
2017-02-02,7.24
2017-02-03,7.23
2017-02-06,7.17
2017-02-07,6.87
2017-02-08,6.42
2017-02-09,6.37
2017-02-10,6.59
2017-02-13,6.57
2017-02-14,7.08
2017-02-15,7.68
2017-02-16,7.56
2017-02-17,7.51
2017-02-21,7.69
2017-02-22,7.36
2017-02-23,6.92
2017-02-24,6.77
2017-02-27,7.5
2017-02-28,6.75
2017-03-01,6.55
2017-03-02,2.79
2017-03-03,2.99
2017-03-06,2.88
2017-03-07,2.66
2017-03-08,2.52
2017-03-09,2.4
2017-03-10,2.31
2017-03-13,2.32
2017-03-14,1.48
2017-03-15,1.52
2017-03-16,1.72
2017-03-17,1.59
2017-03-20,1.64
2017-03-21,1.76
2017-03-22,1.67
2017-03-23,1.71
2017-03-24,1.59
2017-03-27,1.7
2017-03-28,1.72
2017-03-29,1.7
2017-03-30,1.71
2017-03-31,1.8
2017-04-03,1.85
2017-04-04,1.33
2017-04-05,1.19
2017-04-06,1.19
2017-04-07,1.04
2017-04-10,0.98
2017-04-11,1.08
2017-04-12,2.25
2017-04-13,2.33
2017-04-17,2.01
2017-04-18,1.47
2017-04-19,1.41
2017-04-20,1.41
2017-04-21,0.31
2017-04-24,0.26
2017-04-25,0.278
2017-04-26,0.375
2017-04-27,0.331
2017-04-28,0.62
2017-05-01,0.62
2017-05-02,0.511
2017-05-03,0.485
2017-05-04,0.452
2017-05-05,0.445
2017-05-08,0.48
2017-05-09,0.466
2017-05-10,0.5
2017-05-11,0.84
2017-05-12,0.84
2017-05-15,1.03
2017-05-16,1.04
2017-05-17,0.95
2017-05-18,0.94
2017-05-19,1.14
2017-05-22,1.16
2017-05-23,1.1
2017-05-24,1.47
2017-05-25,2.04
2017-05-26,2.05
2017-05-30,2.01
2017-05-31,2.05
2017-06-01,2.063
2017-06-02,2.07
2017-06-05,2.2
2017-06-06,2.42
2017-06-07,2.24
2017-06-08,2.25
2017-06-09,2.22
2017-06-12,2.18
2017-06-13,2.1
2017-06-14,2.15
2017-06-15,2.077
2017-06-16,1.99
2017-06-19,1.88
2017-06-20,1.6
2017-06-21,1.44
2017-06-22,1.8
2017-06-23,1.73
2017-06-26,1.72
2017-06-27,1.7
2017-06-28,1.66
2017-06-29,1.62
2017-06-30,1.71
2017-07-03,1.71
2017-07-05,1.69
2017-07-06,1.67
2017-07-07,1.68
2017-07-10,1.65
2017-07-11,1.57
2017-07-12,1.52
2017-07-13,1.57
2017-07-14,1.65
2017-07-17,1.63
2017-07-18,1.58
2017-07-19,1.64
2017-07-20,1.55
2017-07-21,1.51
2017-07-24,1.42
2017-07-25,1.37
2017-07-26,1.16
2017-07-27,1.13
2017-07-28,1.09
2017-07-31,1.12
2017-08-01,1.1
2017-08-02,0.78
2017-08-03,0.76
2017-08-04,0.775
2017-08-07,0.71
2017-08-08,0.68
2017-08-09,0.7
2017-08-10,0.66
2017-08-11,0.67
2017-08-14,0.68
2017-08-15,0.685
2017-08-16,0.8
2017-08-17,0.8
2017-08-18,0.9
2017-08-21,0.9
2017-08-22,0.96
2017-08-23,0.98
2017-08-24,1.21
2017-08-25,1.33
2017-08-28,1.27
2017-08-29,1.17
2017-08-30,1.26
2017-08-31,1.4
2017-09-01,1.25
2017-09-05,1.38
2017-09-06,1.41
2017-09-07,1.41
2017-09-08,1.45
2017-09-11,1.43
2017-09-12,1.31
2017-09-13,1.4
2017-09-14,1.38
2017-09-15,1.41
2017-09-18,1.36
2017-09-19,1.23
2017-09-20,1.17
2017-09-21,1.15
2017-09-22,1.1
2017-09-25,0.98
2017-09-26,1.0
2017-09-27,1.14
2017-09-28,1.04
2017-09-29,1.22
2017-10-02,1.22
2017-10-03,1.22
2017-10-04,1.22
2017-10-05,1.22
2017-10-06,1.22
2017-10-09,1.22
2017-10-10,1.22
2017-10-11,1.22
2017-10-12,1.22
2017-10-13,1.22
2017-10-16,1.22
2017-10-17,1.22
2017-10-18,1.22
2017-10-19,1.22
2017-10-20,1.22
2017-10-23,1.22
2017-10-24,1.22
2017-10-25,1.22
2017-10-26,1.22
2017-10-27,1.22
2017-10-30,1.22
2017-10-31,1.22
2017-11-01,1.22
