Date,Close
2015-12-31,32.265
2016-01-04,29.53
2016-01-05,30.0
2016-01-06,29.76
2016-01-07,27.95
2016-01-08,27.62
2016-01-11,27.03
2016-01-12,28.205
2016-01-13,27.1
2016-01-14,28.12
2016-01-15,26.99
2016-01-19,27.41
2016-01-20,26.38
2016-01-21,26.69
2016-01-22,27.27
2016-01-25,27.03
2016-01-26,27.0
2016-01-27,25.38
2016-01-28,25.37
2016-01-29,26.03
2016-02-01,25.59
2016-02-02,24.67
2016-02-03,23.81
2016-02-04,24.96
2016-02-05,23.64
2016-02-08,23.21
2016-02-09,22.88
2016-02-10,23.24
2016-02-11,22.9
2016-02-12,23.13
2016-02-16,24.98
2016-02-17,25.72
2016-02-18,25.33
2016-02-19,25.54
2016-02-22,26.32
2016-02-23,25.59
2016-02-24,25.68
2016-02-25,24.93
2016-02-26,25.41
2016-02-29,25.71
2016-03-01,26.5
2016-03-02,26.64
2016-03-03,25.59
2016-03-04,26.48
2016-03-07,26.14
2016-03-08,26.07
2016-03-09,26.34
2016-03-10,26.39
2016-03-11,27.83
2016-03-14,27.74
2016-03-15,27.16
2016-03-16,27.84
2016-03-17,27.03
2016-03-18,27.08
2016-03-21,26.96
2016-03-22,26.99
2016-03-23,26.74
2016-03-24,26.36
2016-03-28,25.82
2016-03-29,26.42
2016-03-30,27.24
2016-03-31,26.5
2016-04-01,26.76
2016-04-04,26.64
2016-04-05,26.52
2016-04-06,26.74
2016-04-07,26.51
2016-04-08,26.86
2016-04-11,27.28
2016-04-12,28.1
2016-04-13,29.58
2016-04-14,29.63
2016-04-15,29.88
2016-04-18,29.34
2016-04-19,28.85
2016-04-20,28.68
2016-04-21,28.79
2016-04-22,28.3
2016-04-25,27.43
2016-04-26,25.07
2016-04-27,25.34
2016-04-28,25.65
2016-04-29,25.56
2016-05-02,25.29
2016-05-03,24.4
2016-05-04,24.22
2016-05-05,24.85
2016-05-06,25.2
2016-05-09,23.43
2016-05-10,23.77
2016-05-11,23.13
2016-05-12,22.11
2016-05-13,22.64
2016-05-16,23.37
2016-05-17,23.88
2016-05-18,23.6
2016-05-19,23.11
2016-05-20,23.45
2016-05-23,22.89
2016-05-24,23.79
2016-05-25,22.98
2016-05-26,23.17
2016-05-27,24.25
2016-05-31,24.61
2016-06-01,23.79
