Date,Close
2015-12-31,20.44
2016-01-04,20.22
2016-01-05,20.95
2016-01-06,21.61
2016-01-07,21.99
2016-01-08,22.04
2016-01-11,21.8
2016-01-12,21.64
2016-01-13,21.26
2016-01-14,20.33
2016-01-15,20.0
2016-01-19,20.15
2016-01-20,20.22
2016-01-21,20.33
2016-01-22,20.83
2016-01-25,21.02
2016-01-26,20.88
2016-01-27,20.45
2016-01-28,20.47
2016-01-29,20.8
2016-02-01,20.86
2016-02-02,20.82
2016-02-03,20.98
2016-02-04,20.92
2016-02-05,21.06
2016-02-08,20.44
2016-02-09,20.15
2016-02-10,19.62
2016-02-11,19.14
2016-02-12,20.09
2016-02-16,20.52
2016-02-17,20.99
2016-02-18,20.73
2016-02-19,20.8
2016-02-22,20.98
2016-02-23,20.91
2016-02-24,20.59
2016-02-25,20.1
2016-02-26,20.85
2016-02-29,20.8
2016-03-01,20.88
2016-03-02,21.0
2016-03-03,21.09
2016-03-04,21.13
2016-03-07,21.05
2016-03-08,21.05
2016-03-09,21.1
2016-03-10,20.4
2016-03-11,20.37
2016-03-14,20.19
2016-03-15,20.2
2016-03-16,20.19
2016-03-17,20.33
2016-03-18,21.0
2016-03-21,21.31
2016-03-22,21.5
2016-03-23,21.57
2016-03-24,21.6
2016-03-28,21.0
2016-03-29,21.68
2016-03-30,21.74
2016-03-31,21.86
2016-04-01,22.01
2016-04-04,21.71
2016-04-05,21.61
2016-04-06,21.84
2016-04-07,22.02
2016-04-08,21.93
2016-04-11,21.6
2016-04-12,21.65
2016-04-13,21.59
2016-04-14,21.835
2016-04-15,21.63
2016-04-18,22.0
2016-04-19,22.01
2016-04-20,22.04
2016-04-21,21.86
2016-04-22,21.52
2016-04-25,21.63
2016-04-26,21.49
2016-04-27,21.41
2016-04-28,21.48
2016-04-29,21.48
2016-05-02,21.5
2016-05-03,21.32
2016-05-04,21.34
2016-05-05,20.46
2016-05-06,19.97
2016-05-09,19.28
2016-05-10,18.13
2016-05-11,17.77
2016-05-12,17.23
2016-05-13,17.98
2016-05-16,18.52
2016-05-17,18.58
2016-05-18,18.74
2016-05-19,18.6
2016-05-20,18.42
2016-05-23,18.99
2016-05-24,19.18
2016-05-25,19.01
2016-05-26,19.03
2016-05-27,19.26
2016-05-31,19.9
2016-06-01,20.19
2016-06-02,20.25
2016-06-03,20.24
2016-06-06,21.12
2016-06-07,19.97
2016-06-08,19.75
2016-06-09,19.64
2016-06-10,19.72
2016-06-13,19.28
2016-06-14,19.14
2016-06-15,19.29
2016-06-16,19.34
2016-06-17,19.65
2016-06-20,19.65
2016-06-21,19.6
2016-06-22,19.59
2016-06-23,19.29
2016-06-24,18.98
2016-06-27,18.65
2016-06-28,18.64
2016-06-29,18.5
2016-06-30,18.34
2016-07-01,18.48
2016-07-05,18.25
