Date,Close
2015-12-31,11.05
2016-01-04,11.08
2016-01-05,10.72
2016-01-06,10.12
2016-01-07,9.51
2016-01-08,9.49
2016-01-11,9.24
2016-01-12,9.47
2016-01-13,8.86
2016-01-14,8.02
2016-01-15,7.73
2016-01-19,7.34
2016-01-20,7.92
2016-01-21,8.22
2016-01-22,8.46
2016-01-25,7.99
2016-01-26,8.07
2016-01-27,7.71
2016-01-28,7.39
2016-01-29,7.38
2016-02-01,7.61
2016-02-02,7.04
2016-02-03,7.68
2016-02-04,7.59
2016-02-05,7.0
2016-02-08,6.61
2016-02-09,6.57
2016-02-10,6.51
2016-02-11,6.88
2016-02-12,7.04
2016-02-16,7.87
2016-02-17,8.25
2016-02-18,8.7
2016-02-19,8.88
2016-02-22,9.28
2016-02-23,8.84
2016-02-24,8.46
2016-02-25,8.45
2016-02-26,8.41
2016-02-29,8.73
2016-03-01,8.75
2016-03-02,9.16
2016-03-03,9.56
2016-03-04,8.98
2016-03-07,9.4
2016-03-08,9.0
2016-03-09,8.91
2016-03-10,9.01
2016-03-11,9.17
2016-03-14,9.05
2016-03-15,8.53
2016-03-16,8.41
2016-03-17,8.4
2016-03-18,8.7
2016-03-21,8.8
2016-03-22,8.45
2016-03-23,8.23
2016-03-24,8.32
2016-03-28,7.73
2016-03-29,8.07
2016-03-30,8.11
2016-03-31,8.3
2016-04-01,8.04
2016-04-04,8.17
2016-04-05,8.0
2016-04-06,8.24
2016-04-07,7.86
2016-04-08,7.94
2016-04-11,7.69
2016-04-12,7.61
2016-04-13,7.56
2016-04-14,7.44
2016-04-15,7.31
2016-04-18,7.53
2016-04-19,8.03
2016-04-20,8.28
2016-04-21,7.74
2016-04-22,7.64
2016-04-25,7.39
2016-04-26,7.52
2016-04-27,8.12
2016-04-28,8.09
2016-04-29,7.9
2016-05-02,7.93
2016-05-03,7.11
2016-05-04,6.92
2016-05-05,6.85
2016-05-06,7.1
2016-05-09,4.62
2016-05-10,4.1
2016-05-11,4.08
2016-05-12,3.76
2016-05-13,3.51
2016-05-16,3.94
2016-05-17,3.6
2016-05-18,3.99
2016-05-19,3.7
2016-05-20,3.99
2016-05-23,4.32
2016-05-24,4.43
2016-05-25,4.45
2016-05-26,4.37
2016-05-27,4.81
2016-05-31,4.76
2016-06-01,4.98
2016-06-02,5.06
2016-06-03,4.62
2016-06-06,4.74
2016-06-07,4.39
2016-06-08,4.42
2016-06-09,4.47
2016-06-10,4.26
2016-06-13,4.44
2016-06-14,4.42
2016-06-15,4.65
2016-06-16,4.96
2016-06-17,4.87
2016-06-20,5.0
2016-06-21,4.92
2016-06-22,4.84
2016-06-23,4.98
2016-06-24,4.69
2016-06-27,4.3
2016-06-28,4.61
2016-06-29,4.54
2016-06-30,4.3
2016-07-01,4.38
2016-07-05,4.17
2016-07-06,4.2
2016-07-07,4.25
2016-07-08,4.32
2016-07-11,4.37
2016-07-12,4.1
2016-07-13,4.25
2016-07-14,4.51
2016-07-15,4.49
2016-07-18,4.6
2016-07-19,4.6
2016-07-20,4.61
2016-07-21,4.59
2016-07-22,4.41
2016-07-25,4.34
2016-07-26,4.64
2016-07-27,4.65
2016-07-28,4.6
2016-07-29,4.62
2016-08-01,4.59
2016-08-02,4.47
2016-08-03,4.64
2016-08-04,4.6
2016-08-05,4.75
2016-08-08,4.79
2016-08-09,4.79
2016-08-10,4.91
2016-08-11,5.46
2016-08-12,5.4
2016-08-15,5.82
2016-08-16,5.63
2016-08-17,5.53
2016-08-18,5.59
2016-08-19,5.49
2016-08-22,5.39
2016-08-23,5.24
2016-08-24,5.44
2016-08-25,5.52
2016-08-26,5.4
2016-08-29,5.56
2016-08-30,5.5
2016-08-31,5.41
2016-09-01,5.3
2016-09-02,5.4
2016-09-06,5.35
2016-09-07,5.41
2016-09-08,5.47
2016-09-09,5.36
2016-09-12,5.59
2016-09-13,5.75
2016-09-14,5.75
2016-09-15,6.17
2016-09-16,6.43
2016-09-19,6.19
2016-09-20,6.1
2016-09-21,6.11
2016-09-22,6.11
2016-09-23,6.28
2016-09-26,6.11
2016-09-27,6.23
2016-09-28,6.24
2016-09-29,6.08
2016-09-30,6.18
2016-10-03,6.16
2016-10-04,6.16
2016-10-05,6.17
2016-10-06,6.05
2016-10-07,5.95
2016-10-10,6.04
2016-10-11,5.79
2016-10-12,5.54
2016-10-13,5.5
2016-10-14,5.38
2016-10-17,4.99
2016-10-18,4.91
2016-10-19,5.07
2016-10-20,4.86
2016-10-21,4.85
2016-10-24,4.87
2016-10-25,4.9
2016-10-26,4.76
2016-10-27,4.75
2016-10-28,4.7
2016-10-31,4.93
2016-11-01,4.86
2016-11-02,4.81
2016-11-03,5.09
2016-11-04,5.13
2016-11-07,5.91
2016-11-08,5.76
2016-11-09,5.61
2016-11-10,5.89
2016-11-11,6.14
2016-11-14,6.31
2016-11-15,6.52
2016-11-16,6.38
2016-11-17,6.06
2016-11-18,5.98
2016-11-21,6.14
2016-11-22,5.96
2016-11-23,5.94
2016-11-25,5.94
2016-11-28,5.79
2016-11-29,5.62
2016-11-30,5.66
2016-12-01,5.33
2016-12-02,5.15
2016-12-05,5.28
2016-12-06,5.68
2016-12-07,5.86
2016-12-08,5.63
2016-12-09,5.53
2016-12-12,5.34
2016-12-13,5.41
2016-12-14,5.2
2016-12-15,5.12
2016-12-16,5.33
2016-12-19,5.17
2016-12-20,5.21
2016-12-21,5.2
2016-12-22,5.26
2016-12-23,5.21
2016-12-27,5.47
2016-12-28,5.21
2016-12-29,5.17
2016-12-30,5.25
2017-01-03,5.42
2017-01-04,5.74
2017-01-05,5.65
2017-01-06,5.63
2017-01-09,5.66
2017-01-10,5.75
2017-01-11,5.68
2017-01-12,5.6
2017-01-13,5.61
2017-01-17,5.49
2017-01-18,5.49
2017-01-19,5.78
2017-01-20,5.75
2017-01-23,5.89
2017-01-24,5.9
2017-01-25,6.1
2017-01-26,6.12
2017-01-27,6.14
2017-01-30,6.05
2017-01-31,6.17
2017-02-01,6.32
2017-02-02,6.23
2017-02-03,6.34
2017-02-06,6.24
2017-02-07,6.31
2017-02-08,6.2
2017-02-09,6.45
2017-02-10,6.68
2017-02-13,6.68
2017-02-14,6.6
2017-02-15,6.29
2017-02-16,5.78
2017-02-17,5.63
2017-02-21,5.68
2017-02-22,5.64
2017-02-23,5.56
2017-02-24,5.45
2017-02-27,5.58
2017-02-28,5.34
2017-03-01,5.29
2017-03-02,5.25
2017-03-03,5.13
2017-03-06,5.05
2017-03-07,5.06
2017-03-08,5.31
2017-03-09,5.37
2017-03-10,5.31
2017-03-13,5.26
2017-03-14,5.26
2017-03-15,5.35
2017-03-16,5.49
2017-03-17,5.36
