Date,Close
2015-12-31,19.5
2016-01-04,18.86
2016-01-05,19.27
2016-01-06,18.94
2016-01-07,17.05
2016-01-08,17.42
2016-01-11,16.65
2016-01-12,16.99
2016-01-13,16.46
2016-01-14,16.79
2016-01-15,15.88
2016-01-19,16.02
2016-01-20,15.63
2016-01-21,15.84
2016-01-22,16.21
2016-01-25,16.31
2016-01-26,15.55
2016-01-27,15.52
2016-01-28,15.0
2016-01-29,15.22
2016-02-01,15.61
2016-02-02,14.7
2016-02-03,14.41
2016-02-04,14.71
2016-02-05,13.79
2016-02-08,12.94
2016-02-09,12.73
2016-02-10,12.68
2016-02-11,12.3
2016-02-12,12.09
2016-02-16,13.55
2016-02-17,14.33
2016-02-18,14.47
2016-02-19,14.9
2016-02-22,15.48
2016-02-23,15.19
2016-02-24,15.49
2016-02-25,15.01
2016-02-26,15.16
2016-02-29,14.36
2016-03-01,14.74
2016-03-02,14.55
2016-03-03,15.93
2016-03-04,15.77
2016-03-07,16.01
2016-03-08,16.01
2016-03-09,16.78
2016-03-10,17.72
2016-03-11,18.08
2016-03-14,17.68
2016-03-15,17.44
2016-03-16,17.67
2016-03-17,18.1
2016-03-18,18.85
2016-03-21,18.89
2016-03-22,18.95
2016-03-23,18.16
2016-03-24,18.01
2016-03-28,18.42
2016-03-29,18.43
2016-03-30,18.34
2016-03-31,17.95
2016-04-01,17.98
2016-04-04,18.15
2016-04-05,18.0
2016-04-06,20.32
2016-04-07,20.14
2016-04-08,20.98
2016-04-11,21.2
2016-04-12,20.98
2016-04-13,21.88
2016-04-14,21.97
2016-04-15,21.33
2016-04-18,21.39
2016-04-19,21.95
2016-04-20,23.18
2016-04-21,24.07
2016-04-22,23.71
2016-04-25,24.19
2016-04-26,24.16
2016-04-27,23.33
2016-04-28,24.19
2016-04-29,24.47
2016-05-02,24.38
2016-05-03,22.7
2016-05-04,23.3
2016-05-05,23.59
2016-05-06,22.83
2016-05-09,21.55
2016-05-10,23.18
2016-05-11,23.08
2016-05-12,22.82
2016-05-13,23.3
2016-05-16,23.55
2016-05-17,23.04
2016-05-18,23.35
2016-05-19,23.1
2016-05-20,23.0
2016-05-23,23.12
2016-05-24,23.34
2016-05-25,24.25
2016-05-26,23.65
2016-05-27,25.61
2016-05-31,26.59
2016-06-01,26.85
2016-06-02,26.79
2016-06-03,27.54
2016-06-06,28.98
2016-06-07,28.37
2016-06-08,28.63
2016-06-09,27.79
2016-06-10,27.08
2016-06-13,26.72
2016-06-14,28.09
2016-06-15,27.85
2016-06-16,27.01
2016-06-17,26.72
2016-06-20,28.04
2016-06-21,27.82
2016-06-22,26.86
2016-06-23,27.61
2016-06-24,27.0
2016-06-27,26.45
2016-06-28,26.88
2016-06-29,27.43
2016-06-30,28.41
2016-07-01,28.54
2016-07-05,28.9
2016-07-06,28.49
2016-07-07,31.57
2016-07-08,30.94
2016-07-11,31.9
2016-07-12,32.56
2016-07-13,31.92
2016-07-14,32.58
2016-07-15,31.99
2016-07-18,32.88
2016-07-19,33.44
2016-07-20,33.0
2016-07-21,33.08
2016-07-22,33.3
2016-07-25,32.28
2016-07-26,32.86
2016-07-27,32.45
2016-07-28,32.42
2016-07-29,32.54
2016-08-01,34.04
2016-08-02,33.22
2016-08-03,33.0
2016-08-04,33.86
2016-08-05,35.86
2016-08-08,37.17
2016-08-09,41.81
2016-08-10,42.94
2016-08-11,42.68
2016-08-12,42.71
2016-08-15,45.72
2016-08-16,43.19
2016-08-17,43.71
2016-08-18,45.25
2016-08-19,44.33
2016-08-22,45.02
2016-08-23,46.43
2016-08-24,45.45
2016-08-25,45.91
2016-08-26,48.38
2016-08-29,48.73
2016-08-30,47.54
2016-08-31,47.77
2016-09-01,49.02
2016-09-02,49.54
2016-09-06,51.21
2016-09-07,49.2
2016-09-08,49.22
2016-09-09,47.99
2016-09-12,48.17
2016-09-13,46.33
2016-09-14,47.87
2016-09-15,48.97
2016-09-16,49.35
2016-09-19,48.77
2016-09-20,47.75
2016-09-21,49.51
2016-09-22,49.48
2016-09-23,49.15
2016-09-26,48.87
2016-09-27,51.63
2016-09-28,51.54
2016-09-29,51.39
2016-09-30,50.14
2016-10-03,51.0
2016-10-04,54.34
2016-10-05,53.08
2016-10-06,52.63
2016-10-07,51.9
2016-10-10,55.85
2016-10-11,52.54
2016-10-12,53.47
2016-10-13,52.79
2016-10-14,53.08
2016-10-17,52.91
2016-10-18,52.99
2016-10-19,52.79
2016-10-20,52.15
2016-10-21,51.26
2016-10-24,51.84
2016-10-25,51.44
2016-10-26,50.7
2016-10-27,49.68
2016-10-28,48.88
2016-10-31,46.01
2016-11-01,46.21
2016-11-02,44.76
2016-11-03,44.88
2016-11-04,45.41
2016-11-07,48.5
2016-11-08,46.67
2016-11-09,47.91
2016-11-10,44.88
2016-11-11,45.41
2016-11-14,41.91
2016-11-15,44.81
2016-11-16,44.52
2016-11-17,44.76
2016-11-18,44.28
2016-11-21,45.61
2016-11-22,48.96
2016-11-23,49.95
2016-11-25,49.05
2016-11-28,51.79
2016-11-29,51.73
2016-11-30,51.31
2016-12-01,46.1
2016-12-02,46.4
2016-12-05,47.56
2016-12-06,46.2
2016-12-07,47.28
2016-12-08,48.76
2016-12-09,48.45
2016-12-12,46.61
2016-12-13,46.39
2016-12-14,45.47
2016-12-15,43.63
2016-12-16,43.36
2016-12-19,42.11
2016-12-20,42.54
2016-12-21,42.69
2016-12-22,40.69
2016-12-23,41.25
2016-12-27,42.47
2016-12-28,41.46
2016-12-29,41.14
2016-12-30,40.6
2017-01-03,41.55
2017-01-04,43.2
2017-01-05,44.94
2017-01-06,44.75
2017-01-09,45.13
2017-01-10,45.7
2017-01-11,45.38
2017-01-12,46.15
2017-01-13,47.69
2017-01-17,46.65
2017-01-18,46.76
2017-01-19,47.08
2017-01-20,46.91
2017-01-23,47.53
2017-01-24,48.2
2017-01-25,48.6
2017-01-26,47.43
2017-01-27,48.11
2017-01-30,47.39
2017-01-31,48.22
2017-02-01,47.97
2017-02-02,49.11
2017-02-03,48.55
2017-02-06,50.85
2017-02-07,53.24
2017-02-08,52.92
2017-02-09,53.9
2017-02-10,53.1
2017-02-13,54.39
2017-02-14,54.87
2017-02-15,54.17
2017-02-16,55.26
2017-02-17,55.31
2017-02-21,58.09
2017-02-22,58.21
2017-02-23,48.89
2017-02-24,51.09
2017-02-27,51.44
2017-02-28,50.52
2017-03-01,51.17
2017-03-02,50.5
2017-03-03,50.3
2017-03-06,49.67
2017-03-07,49.64
2017-03-08,49.95
2017-03-09,48.62
2017-03-10,47.84
2017-03-13,49.84
2017-03-14,49.13
2017-03-15,49.7
2017-03-16,51.14
2017-03-17,51.1
2017-03-20,50.72
2017-03-21,47.75
2017-03-22,48.92
2017-03-23,49.15
2017-03-24,49.78
2017-03-27,50.89
2017-03-28,51.61
2017-03-29,53.61
2017-03-30,52.47
2017-03-31,52.18
2017-04-03,52.26
2017-04-04,50.38
2017-04-05,49.72
2017-04-06,49.86
2017-04-07,49.75
2017-04-10,50.61
2017-04-11,50.58
2017-04-12,50.38
2017-04-13,50.16
2017-04-17,50.46
2017-04-18,50.39
2017-04-19,50.56
2017-04-20,51.94
2017-04-21,52.87
2017-04-24,53.65
2017-04-25,54.21
2017-04-26,54.99
2017-04-27,55.37
2017-04-28,55.86
2017-05-01,55.3
2017-05-02,55.34
2017-05-03,54.7
2017-05-04,55.57
2017-05-05,56.67
2017-05-08,59.33
2017-05-09,61.03
2017-05-10,62.51
2017-05-11,62.62
2017-05-12,62.44
2017-05-15,62.9
2017-05-16,78.6
2017-05-17,74.8
2017-05-18,79.04
2017-05-19,78.31
2017-05-22,80.75
2017-05-23,76.98
2017-05-24,75.35
2017-05-25,77.57
2017-05-26,77.57
2017-05-30,74.51
2017-05-31,73.53
2017-06-01,74.14
2017-06-02,74.52
2017-06-05,75.29
2017-06-06,75.48
2017-06-07,78.82
2017-06-08,77.63
2017-06-09,74.91
2017-06-12,74.74
2017-06-13,73.94
2017-06-14,71.81
2017-06-15,71.94
2017-06-16,71.1
2017-06-19,74.77
2017-06-20,74.08
2017-06-21,76.96
2017-06-22,72.25
2017-06-23,72.38
2017-06-26,71.61
2017-06-27,69.08
2017-06-28,69.36
2017-06-29,67.43
2017-06-30,66.47
2017-07-03,68.33
2017-07-05,68.62
2017-07-06,68.29
2017-07-07,69.42
2017-07-10,68.76
2017-07-11,68.8
2017-07-12,72.56
2017-07-13,73.11
2017-07-14,74.31
2017-07-17,72.43
2017-07-18,74.35
2017-07-19,74.2
2017-07-20,73.55
2017-07-21,73.93
2017-07-24,76.7
2017-07-25,76.0
2017-07-26,76.35
2017-07-27,74.12
2017-07-28,76.35
2017-07-31,76.95
2017-08-01,77.65
2017-08-02,76.14
2017-08-03,78.28
2017-08-04,78.77
2017-08-07,86.26
2017-08-08,86.26
2017-08-09,87.23
2017-08-10,82.2
2017-08-11,82.72
2017-08-14,85.86
2017-08-15,85.46
2017-08-16,88.11
2017-08-17,88.32
2017-08-18,89.68
2017-08-21,91.06
2017-08-22,94.41
2017-08-23,97.41
2017-08-24,98.21
2017-08-25,95.99
2017-08-28,95.08
2017-08-29,96.96
2017-08-30,97.9
2017-08-31,101.1
2017-09-01,104.72
2017-09-05,102.9
2017-09-06,102.34
2017-09-07,106.68
2017-09-08,104.81
2017-09-11,106.61
2017-09-12,106.61
2017-09-13,106.1
2017-09-14,106.98
2017-09-15,106.11
2017-09-18,104.93
2017-09-19,105.34
2017-09-20,100.8
2017-09-21,99.81
2017-09-22,100.04
2017-09-25,95.56
2017-09-26,96.91
2017-09-27,98.45
2017-09-28,98.09
2017-09-29,98.94
2017-10-02,100.39
2017-10-03,104.21
2017-10-04,103.19
2017-10-05,101.5
2017-10-06,100.4
2017-10-09,100.33
2017-10-10,99.72
2017-10-11,99.7
2017-10-12,98.86
2017-10-13,99.74
2017-10-16,99.07
2017-10-17,98.18
2017-10-18,99.27
2017-10-19,96.89
2017-10-20,95.48
2017-10-23,96.07
2017-10-24,95.83
2017-10-25,90.35
2017-10-26,89.96
2017-10-27,90.89
2017-10-30,89.87
2017-10-31,92.65
2017-11-01,96.6
2017-11-02,94.68
2017-11-03,96.41
2017-11-06,99.21
2017-11-07,99.28
2017-11-08,108.97
2017-11-09,109.29
2017-11-10,105.16
2017-11-13,108.58
2017-11-14,112.21
2017-11-15,111.17
2017-11-16,117.72
