Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,27.639999,28.240000,27.549999,27.670000,27.670000,496000
2016-01-04,25.150000,27.430000,24.850000,27.270000,27.270000,1298700
2016-01-05,27.219999,27.400000,25.930000,26.020000,26.020000,744000
2016-01-06,25.629999,26.170000,25.299999,25.760000,25.760000,642600
2016-01-07,24.520000,25.230000,20.840000,20.850000,20.850000,3299700
2016-01-08,23.110001,23.900000,22.059999,22.200001,22.200001,1468900
2016-01-11,22.020000,22.219999,20.920000,21.490000,21.490000,1278300
2016-01-12,22.360001,22.709999,20.709999,21.400000,21.400000,1159000
2016-01-13,21.830000,22.299999,20.299999,20.430000,20.430000,922800
2016-01-14,20.440001,20.910000,18.700001,20.280001,20.280001,1291700
2016-01-15,18.930000,19.290001,17.900000,18.139999,18.139999,1820500
2016-01-19,19.680000,19.740000,18.580000,18.770000,18.770000,1223100
2016-01-20,18.430000,19.730000,17.900000,19.270000,19.270000,1161900
2016-01-21,19.309999,19.780001,18.920000,19.200001,19.200001,744700
2016-01-22,20.459999,21.010000,20.209999,20.809999,20.809999,714100
2016-01-25,20.580000,20.620001,19.990000,20.240000,20.240000,549700
2016-01-26,20.450001,20.900000,19.870001,20.580000,20.580000,397000
2016-01-27,20.469999,21.540001,20.440001,20.480000,20.480000,505100
2016-01-28,21.000000,21.170000,19.650000,19.830000,19.830000,519900
2016-01-29,20.139999,20.590000,20.059999,20.580000,20.580000,321100
2016-02-01,20.540001,20.600000,19.809999,20.190001,20.190001,503700
2016-02-02,19.889999,20.090000,19.620001,19.709999,19.709999,311700
2016-02-03,19.930000,20.010000,19.000000,19.780001,19.780001,580100
2016-02-04,19.980000,21.150000,19.760000,20.959999,20.959999,581000
2016-02-05,20.969999,21.100000,20.080000,20.080000,20.080000,291900
2016-02-08,19.330000,19.480000,18.360001,18.620001,18.620001,704300
2016-02-09,17.840000,18.520000,17.610001,17.809999,17.809999,697500
2016-02-10,18.190001,19.290001,18.000000,18.080000,18.080000,520700
2016-02-11,18.000000,18.040001,16.950001,17.120001,17.120001,745900
