Symbol,Date,Transaction,Qty,Price,Commission,Tax,Broker
XIN,2012-11-15,BUY,400,2.96,2.0,0.0,IB
XIN,2012-11-16,BUY,200,2.83,1.0,0.0,IB
ALN,2013-01-28,BUY,2000,1.32,10.0,0.0,IB
YONG,2013-02-15,BUY,400,5.36,2.0,0.0,IB
YONG,2013-06-17,SELL,-100,5.09,1.0,0.0,IB
YONG,2013-06-17,SELL,-200,4.99,1.0,0.0,IB
YONG,2013-07-29,SELL,-100,5.44,1.0,0.0,IB
XIN,2013-08-12,SELL,-200,5.46,1.0,0.0,IB
ALN,2013-08-13,SELL,-1000,0.99,4.95,0.0,IB
XIN,2013-08-14,SELL,-200,6.42,1.0,0.0,IB
XIN,2013-10-17,SELL,-200,6.98,1.02429,0.0,IB
CYOU,2013-10-30,BUY,100,28.12,1.0,0.0,IB
CYOU,2013-11-25,BUY,100,27.12,1.0,0.0,IB
CYOU,2014-02-07,SELL,-100,28.83,1.050164,0.0,IB
CCIH,2014-02-07,BUY,50,14.58,1.0,0.0,IB
CCIH,2014-02-10,BUY,50,15.24,1.0,0.0,IB
QUNR,2014-02-10,BUY,50,25.06,1.0,0.0,IB
QUNR,2014-02-28,SELL,-50,31.6,1.027492,0.0,IB
FSLR,2014-03-03,BUY,30,55.5,1.0,0.0,IB
MU,2014-04-11,BUY,100,21.61,1.0,0.0,IB
ALN,2014-06-19,SELL,-1000,1.15,5.025415,0.0,IB
CYTX,2014-07-07,BUY,1000,2.36,5.0,0.0,IB
CYTX,2014-07-07,BUY,1000,2.32,5.0,0.0,IB
CYTX,2014-07-15,SELL,-1000,2.15075,4.247533,0.0,IB
CCIH,2014-07-16,SELL,-100,12.76,1.0282,0.0,IB
MU,2014-07-31,SELL,-100,31.13,1.068797,0.0,IB
CYOU,2014-08-01,SELL,-100,24.02,1.053084,0.0,IB
FSLR,2014-08-05,SELL,-30,60.3,1.039979,0.0,IB
CYTX,2014-08-22,SELL,-1000,1.291,4.028531,0.0,IB
JKS,2014-09-05,BUY,100,30.8,1.0,0.0,IB
JKS,2014-10-14,BUY,100,20.56,1.0,0.0,IB
HABT,2014-12-08,BUY,70,34.21,1.0,0.0,IB
HABT,2014-12-15,BUY,80,39.91,1.0,0.0,IB
HABT,2015-01-16,SELL,-150,29.17,1.096699,0.0,IB
JKS,2015-05-15,SELL,-200,29.0,1.10672,0.0,IB
NVRO,2015-07-10,BUY,100,49.0,1.0,0.0,IB
