Date,Fund,Earning,Value,Market,Commission,Tax
2015-12-31,1405000.0,0.0,1405000.0,703004.5,0.0,0.0
2016-01-01,1405000.0,0.0,1405000.0,703004.5,0.0,0.0
2016-01-02,1405000.0,0.0,1405000.0,703004.5,0.0,0.0
2016-01-03,1405000.0,0.0,1405000.0,703004.5,0.0,0.0
2016-01-04,1405000.0,-35334.5,1369665.5,755771.0,30.0,0.0
2016-01-05,1405000.0,-32443.5,1372556.5,806621.0,50.0,0.0
2016-01-06,1405000.0,-28690.5,1376309.5,802499.0,55.0,0.0
2016-01-07,1405000.0,-64868.7,1340131.3,812866.5,92.7,0.0
2016-01-08,1405000.0,-54852.43,1350147.57,789196.5,102.7,33.73
2016-01-09,1405000.0,-54852.43,1350147.57,789196.5,102.7,33.73
2016-01-10,1405000.0,-54852.43,1350147.57,789196.5,102.7,33.73
2016-01-11,1405000.0,-84084.4,1320915.6,755253.0,137.7,83.2
2016-01-12,1405000.0,-85363.33,1319636.67,741304.5,157.7,113.63
2016-01-13,1405000.0,-87513.83,1317486.17,730239.0,162.7,113.63
2016-01-14,1405000.0,-78972.82,1326027.18,669313.0,215.82,126.55
2016-01-15,1405000.0,-95560.82,1309439.18,668955.0,220.82,126.55
2016-01-16,1505000.0,-95560.82,1409439.18,668955.0,220.82,126.55
2016-01-17,1505000.0,-95560.82,1409439.18,668955.0,220.82,126.55
2016-01-18,1505000.0,-95295.32,1409704.68,676084.5,225.82,126.55
2016-01-19,1505000.0,-74523.82,1430476.18,696856.0,225.82,126.55
2016-01-20,1505000.0,-89346.82,1415653.18,682033.0,225.82,126.55
2016-01-21,1505000.0,-103935.37,1401064.63,657149.0,258.33,176.59
2016-01-22,1505000.0,-95408.37,1409591.63,665421.0,258.33,176.59
2016-01-23,1505000.0,-95408.37,1409591.63,665421.0,258.33,176.59
2016-01-24,1505000.0,-95408.37,1409591.63,665421.0,258.33,176.59
2016-01-25,1517962.0,-91218.87,1426743.13,669610.5,258.33,176.59
2016-01-26,1517962.0,-117885.87,1400076.13,687346.5,278.33,176.59
2016-01-27,1517962.0,-118635.87,1399326.13,704524.5,288.33,176.59
2016-01-28,1517962.0,-131326.58,1386635.42,679641.0,293.33,188.8
2016-01-29,1517962.0,-112416.08,1405545.92,750122.5,328.63,230.8
2016-01-30,1517962.0,-112416.08,1405545.92,750122.5,328.63,230.8
