Date,Close
2015-12-31,16.02
2016-01-04,15.46
2016-01-05,15.64
2016-01-06,15.55
2016-01-07,14.41
2016-01-08,14.33
2016-01-11,13.44
2016-01-12,13.79
2016-01-13,13.6
2016-01-14,13.51
2016-01-15,12.99
2016-01-19,12.8
2016-01-20,12.29
2016-01-21,12.48
2016-01-22,12.4
2016-01-25,12.08
2016-01-26,12.37
2016-01-27,11.93
2016-01-28,11.75
2016-01-29,11.91
2016-02-01,11.76
2016-02-02,11.17
2016-02-03,10.64
2016-02-04,10.87
2016-02-05,10.43
2016-02-08,9.48
2016-02-09,8.09
2016-02-10,7.94
2016-02-11,7.79
2016-02-12,7.49
2016-02-16,8.77
2016-02-17,9.15
2016-02-18,9.02
2016-02-19,9.26
2016-02-22,10.02
2016-02-23,12.0
2016-02-24,12.09
2016-02-25,11.93
2016-02-26,11.96
2016-02-29,11.78
2016-03-01,12.01
2016-03-02,12.16
2016-03-03,12.65
2016-03-04,13.58
2016-03-07,13.34
2016-03-08,13.51
2016-03-09,13.52
2016-03-10,12.81
2016-03-11,13.14
2016-03-14,13.16
2016-03-15,12.04
2016-03-16,12.25
2016-03-17,11.97
2016-03-18,12.79
2016-03-21,12.88
2016-03-22,12.73
2016-03-23,12.17
2016-03-24,12.18
2016-03-28,11.91
2016-03-29,11.51
2016-03-30,11.43
2016-03-31,11.24
2016-04-01,10.93
2016-04-04,12.19
2016-04-05,12.04
2016-04-06,16.09
2016-04-07,16.31
2016-04-08,16.42
2016-04-11,16.58
2016-04-12,16.41
2016-04-13,16.41
2016-04-14,16.43
2016-04-15,16.49
2016-04-18,16.63
2016-04-19,16.51
2016-04-20,16.51
2016-04-21,16.52
2016-04-22,16.45
2016-04-25,16.49
2016-04-26,16.53
2016-04-27,16.5
2016-04-28,16.51
2016-04-29,16.44
2016-05-02,16.46
2016-05-03,16.44
2016-05-04,16.46
2016-05-05,15.57
2016-05-06,14.58
2016-05-09,12.27
2016-05-10,13.08
2016-05-11,10.76
2016-05-12,11.4
2016-05-13,11.68
2016-05-16,12.01
2016-05-17,12.99
2016-05-18,13.04
2016-05-19,12.16
2016-05-20,12.67
2016-05-23,12.35
2016-05-24,12.9
2016-05-25,11.99
2016-05-26,12.34
2016-05-27,12.57
2016-05-31,12.78
2016-06-01,12.63
2016-06-02,12.67
2016-06-03,12.53
2016-06-06,12.92
2016-06-07,12.82
2016-06-08,12.61
2016-06-09,12.54
2016-06-10,12.18
2016-06-13,12.37
2016-06-14,12.02
2016-06-15,12.08
2016-06-16,11.17
2016-06-17,11.45
2016-06-20,11.51
2016-06-21,11.22
2016-06-22,10.75
2016-06-23,10.74
2016-06-24,10.7
2016-06-27,10.24
2016-06-28,10.43
2016-06-29,10.18
2016-06-30,10.11
2016-07-01,9.95
2016-07-05,9.36
2016-07-06,9.91
2016-07-07,11.65
2016-07-08,11.68
2016-07-11,12.55
2016-07-12,12.62
2016-07-13,12.21
2016-07-14,12.69
2016-07-15,12.5
2016-07-18,12.76
2016-07-19,12.77
2016-07-20,13.1
2016-07-21,12.98
2016-07-22,13.15
2016-07-25,13.53
2016-07-26,13.5
2016-07-27,13.39
2016-07-28,13.21
2016-07-29,13.23
2016-08-01,14.44
2016-08-02,15.01
2016-08-03,14.92
2016-08-04,14.88
2016-08-05,14.71
2016-08-08,14.92
2016-08-09,14.89
2016-08-10,14.79
2016-08-11,14.94
