Date,Fund,Earning,Value,Market,Commission,Tax
2015-12-31,1405000.0,0.0,1405000.0,703004.5,0.0,0.0
2016-01-31,1517962.0,-112416.08,1405545.92,750122.5,328.63,230.8
2016-02-29,1517962.0,-101683.27,1416278.73,704711.5,411.79,354.06
2016-03-31,1517962.0,-12576.94,1505385.06,758081.0,449.01,397.33
2016-04-30,1517962.0,-22302.67,1495659.33,543615.0,535.64,545.92
2016-05-31,1197962.0,-8472.43,1189489.57,602400.0,573.87,755.72
2016-06-30,1197962.0,13594.48,1211556.48,775880.0,634.46,989.61
2016-07-31,1197962.0,53143.06,1251105.06,719865.0,706.06,1876.81
2016-08-31,1197962.0,78312.65,1276274.65,829360.0,806.51,1988.22
2016-09-30,1197962.0,87194.41,1285156.41,833162.0,874.14,2278.73
2016-10-31,1197962.0,122045.68,1320007.68,1014202.7,994.5,2374.33
2016-11-30,1197962.0,187710.39,1385672.39,747278.0,1075.85,2593.55
2016-12-31,1197962.0,149779.16,1347741.16,865843.0,1301.17,3212.96
2017-01-31,1197962.0,198628.0,1396590.0,848952.0,1363.14,3380.54
2017-02-28,1197962.0,232130.14,1430092.14,867804.0,1386.2,3435.16
2017-03-31,1197962.0,270250.76,1468212.76,1098539.0,1486.65,3656.17
2017-04-30,1197962.0,248523.87,1446485.87,1263383.0,1648.06,4247.37
2017-05-31,1197962.0,437123.69,1635085.69,1576543.0,1826.56,5052.2
2017-06-30,1117962.0,626543.33,1744505.33,1608535.0,2083.59,6239.63
2017-07-31,1117962.0,674833.17,1792795.17,1450156.0,2315.67,7555.35
2017-08-31,1147962.0,770414.58,1918376.58,1473729.0,2507.84,8150.16
2017-09-30,1127962.0,767040.63,1895002.63,1585603.0,2737.85,8578.64
2017-10-31,1107962.0,857850.92,1965812.92,1811322.0,2787.75,8610.72
2017-11-30,1147962.0,956244.55,2104206.55,1756296.0,2890.95,8887.33
2017-12-31,1321715.0,1016408.98,2338123.98,1883459.0,2970.19,8974.61
2018-01-31,1651715.0,1246181.13,2897896.13,2450130.0,3140.99,11938.32
2018-02-28,1651715.0,1073645.45,2725360.45,2264379.0,3518.53,13237.08
