Date,Fund,Earning,Value,Market,Commission,Tax
2015-12-31,223067.2,80460.04,303527.24,154416.11,2637.37,2089.18
2016-01-31,457567.2,42969.13,500536.33,334319.1,3075.2,2309.85
2016-02-29,457567.2,59949.38,517516.58,368016.18,3199.54,2437.79
2016-03-31,457567.2,89684.43,547251.63,341205.37,3355.16,2659.66
2016-04-30,457567.2,98631.66,556198.86,335968.62,3562.61,2859.11
2016-05-31,457567.2,108248.0,565815.2,374387.36,3940.31,3183.09
2016-06-30,457567.2,117456.15,575023.35,507800.0,4475.62,4210.46
2016-07-31,457567.2,137879.92,595447.12,502760.0,4661.72,4713.24
2016-08-31,457567.2,165959.27,623526.47,455005.0,4977.47,5109.0
2016-09-30,457567.2,172816.58,630383.78,513743.0,5143.05,5264.17
2016-10-31,457567.2,153793.99,611361.19,446108.0,5423.43,5637.9
2016-11-30,457567.2,197315.18,654882.38,609262.0,5705.94,5917.19
2016-12-31,457567.2,183133.55,640700.75,481140.0,5999.1,6251.13
2017-01-31,457567.2,171906.62,629473.82,438104.0,6129.26,6517.43
2017-02-28,457567.2,222728.92,680296.12,638156.0,6467.25,6919.16
2017-03-31,457567.2,279901.63,737468.83,736674.0,6718.32,7146.39
2017-04-30,457567.2,281533.15,739100.35,744300.0,7051.77,7626.61
2017-05-31,457567.2,424219.33,881786.53,926249.62,7269.46,10163.74
2017-06-30,457567.2,598766.76,1056333.96,965020.0,7561.06,10751.12
2017-07-31,457567.2,811853.45,1269420.65,1227640.0,7708.95,11218.25
2017-08-31,457567.2,926090.46,1383657.66,1142685.0,8136.27,11953.94
2017-09-30,457567.2,1302982.05,1760549.25,1679160.0,8461.77,12429.98
2017-10-31,457567.2,1471968.82,1929536.02,1698790.0,9339.03,14516.98
2017-11-30,457567.2,1393740.26,1851307.46,1521621.83,9788.34,15474.81
2017-12-31,100567.2,1412402.31,1512969.51,1207170.0,10361.39,16182.82
2018-01-31,100567.2,1679350.44,1779917.64,1769856.0,10637.13,14479.82
