Symbol,Name,Date,Transaction,Qty,Price,Commission,Tax,Broker
00837,谭木匠,2012-10-08,BUY,2000,4.78,18.0,10.29,盈透
00107,四川成渝高速公路,2013-01-23,BUY,10000,2.87,22.96,29.861,盈透
00893,中国铁钛,2013-01-27,BUY,12000,1.78,18.0,22.6408,盈透
01968,匹克体育,2013-03-17,BUY,10000,1.29,18.0,13.387,盈透
00837,谭木匠,2013-04-01,SELL,-2000,4.95,18.0,10.297,盈透
00893,中国铁钛,2013-04-07,SELL,-24000,1.74,33.408,43.2528,盈透
00893,中国铁钛,2013-04-07,BUY,12000,1.74,18.0,21.6264,盈透
01968,匹克体育,2013-04-21,SELL,-10000,1.34,18.0,21.6264,盈透
00272,瑞安房地产,2013-06-10,BUY,4000,2.46,18.0,10.2952,盈透
00107,四川成渝高速公路,2013-06-20,BUY,6000,2.12,18.0,13.3816,盈透
00107,四川成渝高速公路,2013-06-24,BUY,4000,2.01,18.0,10.2412,盈透
01968,匹克体育,2013-07-09,BUY,10000,1.28,18.0,16.384,盈透
01988,民生银行,2013-07-29,BUY,1500,7.62,18.0,12.3429,盈透
00133,招商局中国基金,2013-08-06,BUY,2000,10.48,18.0,21.6288,盈透
01968,匹克体育,2013-08-12,SELL,-10000,1.57,18.0,17.471,盈透
00133,招商局中国基金,2013-08-16,BUY,2000,10.48,18.0,21.6288,盈透
00107,四川成渝高速公路,2013-11-12,SELL,-10000,2.37,18.96,24.711,盈透
01988,民生银行,2014-01-05,SELL,-1500,8.31,18.0,13.37395,盈透
08058,罗欣药业,2014-01-21,BUY,4000,7.02,22.464000000000002,29.8424,盈透
00133,招商局中国基金,2014-01-21,SELL,-2000,10.78,18.0,22.6468,盈透
02382,舜宇光学科技,2014-02-14,BUY,1000,6.24,18.0,7.1872,盈透
02382,舜宇光学科技,2014-02-18,BUY,1000,6.46,18.0,7.1938,盈透
02382,舜宇光学科技,2014-02-26,BUY,1000,6.94,18.0,7.2082,盈透
08058,罗欣药业,2014-02-26,SELL,-2000,9.2,18.0,19.552,盈透
00348,龙昌数码科技,2014-03-09,BUY,6000,1.16,18.0,7.2088,盈透
00348,龙昌数码科技,2014-03-11,BUY,4000,1.14,18.0,5.1368,盈透
