Symbol,Name,Date,Transaction,Qty,Price,Commission,Tax,Broker
01088,中国神华,2016-12-07,BUY,2000,14.1226,6.0057,28.3872,GJ-WJ
01088,中国神华,2016-12-14,BUY,1000,14.3516,3.9351,15.1351,GJ-WJ
01088,中国神华,2016-12-14,BUY,1000,13.9421,3.8728,14.2448,GJ-WJ
01918,融创中国,2016-12-14,BUY,5000,5.778,7.8881,29.3799,GJ-WJ
01918,融创中国,2016-12-15,BUY,5000,5.6916,7.8304,29.5317,GJ-WJ
00966,中国太平,2016-12-19,BUY,1000,14.735,4.0015,15.2184,GJ-WJ
01918,融创中国,2016-12-21,BUY,5000,5.9107,6.2236,30.4028,GJ-WJ
01088,中国神华,2016-12-21,BUY,1000,13.109,3.7646,13.413,GJ-WJ
01918,融创中国,2017-01-18,SELL,-10000,6.0573,10.8449,60.8373,GJ-WJ
01918,融创中国,2017-01-18,SELL,-5000,6.0308,6.2865,30.8595,GJ-WJ
01055,中国南方航空股份,2017-03-21,BUY,2000,4.6646,3.1747,9.7548,GJ-WJ
01055,中国南方航空股份,2017-03-29,BUY,2000,4.8414,3.2276,9.7537,GJ-WJ
00165,中国光大控股,2017-03-29,BUY,2000,14.0631,5.9941,28.3744,GJ-WJ
01918,融创中国,2017-04-07,BUY,3000,9.465,6.0377,28.4128,GJ-WJ
01918,融创中国,2017-04-11,BUY,10000,10.3043,17.5084,103.0428,GJ-WJ
01088,中国神华,2017-04-27,SELL,-2000,15.7868,6.5187,31.9284,GJ-WJ
01055,中国南方航空股份,2017-05-10,SELL,-4000,4.6536,6.3289,19.5008,GJ-WJ
03333,中国恒大,2017-05-18,BUY,5000,7.2877,7.2257,37.191,GJ-WJ
03333,中国恒大,2017-05-19,BUY,3000,7.3762,5.0828,22.1375,GJ-WJ
03333,中国恒大,2017-05-19,BUY,2000,7.3319,5.7292,15.939,GJ-WJ
01088,中国神华,2017-05-19,SELL,-3000,16.3995,9.1472,49.588,GJ-WJ
03333,中国恒大,2017-06-06,SELL,-5000,12.4856,12.8431,63.6487,GJ-WJ
03333,中国恒大,2017-06-07,BUY,5000,12.3202,10.9871,61.8623,GJ-WJ
03333,中国恒大,2017-06-08,SELL,-5000,14.8763,12.9056,74.992,GJ-WJ
03333,中国恒大,2017-06-16,SELL,-5000,13.1648,13.3744,67.221,GJ-WJ
02007,碧桂园,2017-06-19,BUY,10000,7.9552,18.9264,82.1748,GJ-WJ
00966,中国太平,2017-06-19,SELL,-1000,16.8196,4.2748,17.484,GJ-WJ
00165,中国光大控股,2017-06-26,SELL,-2000,15.4685,6.3926,31.5684,GJ-WJ
01918,融创中国,2017-07-06,SELL,-13000,13.586,36.8913,179.4054,GJ-WJ
00392,北京控股,2017-07-07,BUY,1000,33.1263,8.4448,34.824,GJ-WJ
02007,碧桂园,2017-07-14,SELL,-10000,7.8288,18.69,81.6766,GJ-WJ
01918,融创中国,2017-09-27,BUY,1000,27.9943,5.8962,28.0368,GJ-WJ
01918,融创中国,2017-10-13,SELL,-1000,31.6153,6.4244,32.0796,GJ-WJ
